node1,node2,combined_score,citation,citation_source
BRCA2,EXO1,0.952,PMC9854651,pmcid
BRCA2,FLNA,0.965,PMC9854651,pmcid
BRCA2,PTEN,0.804,PMC9854651,pmcid
BRCA2,POLH,0.958,PMC9854651,pmcid
BRCA2,RPA2,0.894,PMC9854651,pmcid
BRCA2,POLE3,0.914,PMC9854651,pmcid
BRCA2,MDC1,0.805,PMC9854651,pmcid
BRCA2,FANCG,0.998,PMC9854651,pmcid
BRCA2,RAD50,0.795,PMC9854651,pmcid
BRCA2,PCNA,0.937,PMC9854651,pmcid
BRCA2,CDKN2A,0.706,PMC9854651,pmcid
BRCA2,C19ORF40,0.798,PMC9854651,pmcid
BRCA2,FANCB,0.858,PMC9854651,pmcid
BRCA2,CDC45,0.869,PMC9854651,pmcid
BRCA2,FANCL,0.885,PMC9854651,pmcid
BRCA2,FANCA,0.903,PMC9854651,pmcid
BRCA2,POLE4,0.916,PMC9854651,pmcid
BRCA2,H2AFX,0.918,PMC9854651,pmcid
BRCA2,TP53BP1,0.925,PMC9854651,pmcid
BRCA2,TOP3A,0.934,PMC9854651,pmcid
BRCA2,CHEK2,0.961,PMC9854651,pmcid
BRCA2,RAD51,0.999,PMC9854651,pmcid
BRIP1,ERCC1,0.943,PMC9854651,pmcid
BRIP1,POLE2,0.937,PMC9854651,pmcid
BRIP1,MLH1,0.992,PMC9854651,pmcid
BRIP1,RPA2,0.709,PMC9854651,pmcid
BRIP1,FANCA,0.724,PMC9854651,pmcid
BRIP1,RAD50,0.746,PMC9854651,pmcid
BRIP1,C17ORF70,0.758,PMC9854651,pmcid
BRIP1,RAD52,0.762,PMC9854651,pmcid
BRIP1,FANCI,0.78,PMC9854651,pmcid
BRIP1,FANCM,0.801,PMC9854651,pmcid
BRIP1,WRN,0.838,PMC9854651,pmcid
BRIP1,KAT5,0.839,PMC9854651,pmcid
BRIP1,MRE11A,0.86,PMC9854651,pmcid
BRIP1,EXO1,0.877,PMC9854651,pmcid
BRIP1,FANCD2,0.894,PMC9854651,pmcid
BRIP1,POLE3,0.903,PMC9854651,pmcid
BRIP1,POLE4,0.904,PMC9854651,pmcid
BRIP1,NBN,0.909,PMC9854651,pmcid
BRIP1,RAD51,0.909,PMC9854651,pmcid
BRIP1,RMI1,0.924,PMC9854651,pmcid
BRIP1,PCNA,0.927,PMC9854651,pmcid
BRIP1,TP53,0.929,PMC9854651,pmcid
BRIP1,POLH,0.933,PMC9854651,pmcid
BRIP1,POLE,0.938,PMC9854651,pmcid
BRIP1,TOP3A,0.943,PMC9854651,pmcid
BRIP1,ERCC4,0.953,PMC9854651,pmcid
BRIP1,SLX4,0.963,PMC9854651,pmcid
BRIP1,PALB2,0.975,PMC9854651,pmcid
BRIP1,PMS2,0.98,PMC9854651,pmcid
BTNL2,HLA-DRB1,0.967,PMC9854651,pmcid
BTRC,CDC34,0.99,PMC9854651,pmcid
BTRC,RBX1,0.999,PMC9854651,pmcid
BTRC,NFKBIA,0.999,PMC9854651,pmcid
BTRC,NFKB1,0.992,PMC9854651,pmcid
BTRC,SKP1,0.999,PMC9854651,pmcid
BTRC,NEDD8,0.981,PMC9854651,pmcid
BTRC,UBE2M,0.781,PMC9854651,pmcid
BTRC,MDM2,0.919,PMC9854651,pmcid
BTRC,CUL3,0.901,PMC9854651,pmcid
BTRC,TP63,0.93,PMC9854651,pmcid
BTRC,TP53,0.797,PMC9854651,pmcid
BTRC,SKP2,0.981,PMC9854651,pmcid
BTRC,FBXW7,0.933,PMC9854651,pmcid
BTRC,REL,0.763,PMC9854651,pmcid
BTRC,CUL1,0.999,PMC9854651,pmcid
BTRC,CTNNB1,0.999,PMC9854651,pmcid
BTRC,UBE2D3,0.775,PMC9854651,pmcid
BTRC,MCL1,0.96,PMC9854651,pmcid
BTRC,MYC,0.752,PMC9854651,pmcid
BTRC,CUL5,0.795,PMC9854651,pmcid
BTRC,CUL4A,0.819,PMC9854651,pmcid
BTRC,IKBKG,0.852,PMC9854651,pmcid
BTRC,CHUK,0.863,PMC9854651,pmcid
BTRC,UBE2D1,0.941,PMC9854651,pmcid
BTRC,RELA,0.971,PMC9854651,pmcid
BTRC,IKBKB,0.978,PMC9854651,pmcid
C10ORF11,SLC24A5,0.717,PMC9854651,pmcid
C17ORF70,ERCC1,0.812,PMC9854651,pmcid
C17ORF70,FANCE,0.998,PMC9854651,pmcid
C17ORF70,PALB2,0.835,PMC9854651,pmcid
C17ORF70,FANCM,0.999,PMC9854651,pmcid
C17ORF70,FANCD2,0.988,PMC9854651,pmcid
C17ORF70,FANCC,0.999,PMC9854651,pmcid
C17ORF70,SLX4,0.891,PMC9854651,pmcid
C17ORF70,ERCC4,0.825,PMC9854651,pmcid
C17ORF70,FANCI,0.992,PMC9854651,pmcid
C17ORF70,RMI1,0.995,PMC9854651,pmcid
C17ORF70,FANCF,0.999,PMC9854651,pmcid
C17ORF70,FAN1,0.784,PMC9854651,pmcid
C17ORF70,RPA2,0.917,PMC9854651,pmcid
C17ORF70,TOP3A,0.993,PMC9854651,pmcid
C17ORF70,STRA13,0.997,PMC9854651,pmcid
C17ORF70,FANCL,0.999,PMC9854651,pmcid
C17ORF70,FANCB,0.999,PMC9854651,pmcid
C17ORF70,C19ORF40,0.999,PMC9854651,pmcid
C17ORF70,FANCA,0.999,PMC9854651,pmcid
C17ORF70,FANCG,0.999,PMC9854651,pmcid
C17ORF70,C1ORF86,0.999,PMC9854651,pmcid
C19ORF40,ERCC1,0.912,PMC9854651,pmcid
C19ORF40,FANCE,0.98,PMC9854651,pmcid
C19ORF40,MSH2,0.807,PMC9854651,pmcid
C19ORF40,PALB2,0.835,PMC9854651,pmcid
C19ORF40,FANCM,0.999,PMC9854651,pmcid
C19ORF40,FANCD2,0.96,PMC9854651,pmcid
C19ORF40,FANCC,0.985,PMC9854651,pmcid
C19ORF40,SLX4,0.896,PMC9854651,pmcid
C19ORF40,ERCC4,0.966,PMC9854651,pmcid
C19ORF40,FANCI,0.95,PMC9854651,pmcid
C19ORF40,RMI1,0.969,PMC9854651,pmcid
C19ORF40,FANCF,0.986,PMC9854651,pmcid
C19ORF40,FAN1,0.856,PMC9854651,pmcid
C19ORF40,EXO1,0.717,PMC9854651,pmcid
C19ORF40,RPA2,0.799,PMC9854651,pmcid
C19ORF40,XPA,0.704,PMC9854651,pmcid
C19ORF40,FANCG,0.988,PMC9854651,pmcid
C19ORF40,FANCA,0.999,PMC9854651,pmcid
C19ORF40,STRA13,0.999,PMC9854651,pmcid
C19ORF40,FANCB,0.988,PMC9854651,pmcid
C19ORF40,C1ORF86,0.994,PMC9854651,pmcid
C19ORF40,FANCL,0.991,PMC9854651,pmcid
C19ORF40,TOP3A,0.955,PMC9854651,pmcid
C1ORF86,ERCC1,0.712,PMC9854651,pmcid
C1ORF86,FANCE,0.999,PMC9854651,pmcid
C1ORF86,REV1,0.991,PMC9854651,pmcid
C1ORF86,FANCM,0.999,PMC9854651,pmcid
C1ORF86,FANCD2,0.898,PMC9854651,pmcid
C1ORF86,FANCC,0.999,PMC9854651,pmcid
C1ORF86,SLX4,0.859,PMC9854651,pmcid
C1ORF86,ERCC4,0.747,PMC9854651,pmcid
C1ORF86,FANCI,0.885,PMC9854651,pmcid
C1ORF86,FANCF,0.999,PMC9854651,pmcid
C1ORF86,FANCG,0.999,PMC9854651,pmcid
C1ORF86,FANCA,0.999,PMC9854651,pmcid
C1ORF86,STRA13,0.967,PMC9854651,pmcid
C1ORF86,FANCB,0.999,PMC9854651,pmcid
C1ORF86,FANCL,0.999,PMC9854651,pmcid
CAB39,PRKACA,0.9,PMC9854651,pmcid
CAB39,STK11,0.999,PMC9854651,pmcid
CAB39,STRADA,0.999,PMC9854651,pmcid
CAND1,RBX1,0.999,PMC9854651,pmcid
CAND1,SKP1,0.914,PMC9854651,pmcid
CAND1,NEDD8,0.938,PMC9854651,pmcid
CAND1,UBE2M,0.938,PMC9854651,pmcid
CAND1,DDB2,0.744,PMC9854651,pmcid
CAND1,CUL3,0.99,PMC9854651,pmcid
CAND1,DDB1,0.937,PMC9854651,pmcid
CAND1,CUL1,0.999,PMC9854651,pmcid
CAND1,CUL4A,0.991,PMC9854651,pmcid
CAND1,CUL5,0.97,PMC9854651,pmcid
CAND1,CUL4B,0.998,PMC9854651,pmcid
CAND1,CUL2,0.988,PMC9854651,pmcid
CASP1,TP63,0.914,PMC9854651,pmcid
CASP1,TP53,0.971,PMC9854651,pmcid
CASP1,FADD,0.734,PMC9854651,pmcid
CASP1,CASP8,0.916,PMC9854651,pmcid
CASP1,EIF3A,0.9,PMC9854651,pmcid
CASP1,XIAP,0.712,PMC9854651,pmcid
CASP1,TLR4,0.875,PMC9854651,pmcid
CASP1,SERPINB9,0.771,PMC9854651,pmcid
CASP1,DDX3X,0.754,PMC9854651,pmcid
CASP1,EIF4E,0.906,PMC9854651,pmcid
CASP1,NLRP1,0.999,PMC9854651,pmcid
CASP7,TNFRSF1A,0.745,PMC9854651,pmcid
CASP7,GZMB,0.972,PMC9854651,pmcid
CASP7,FADD,0.966,PMC9854651,pmcid
CASP7,FAS,0.953,PMC9854651,pmcid
CASP7,CASP8,0.959,PMC9854651,pmcid
CASP7,FASLG,0.954,PMC9854651,pmcid
CASP7,EIF3A,0.902,PMC9854651,pmcid
CASP7,EIF4E,0.923,PMC9854651,pmcid
CASP7,XIAP,0.999,PMC9854651,pmcid
CASP8,TNFRSF1A,0.999,PMC9854651,pmcid
CASP8,MAPK1,0.963,PMC9854651,pmcid
CASP8,GZMB,0.921,PMC9854651,pmcid
CASP8,NFKBIA,0.756,PMC9854651,pmcid
CASP8,NFKB1,0.946,PMC9854651,pmcid
CASP8,TICAM1,0.964,PMC9854651,pmcid
CASP8,MDM2,0.77,PMC9854651,pmcid
CASP8,RIPK1,0.999,PMC9854651,pmcid
CASP8,CUL3,0.98,PMC9854651,pmcid
CASP8,TP53,0.977,PMC9854651,pmcid
CASP8,TLR3,0.987,PMC9854651,pmcid
CASP8,FADD,0.999,PMC9854651,pmcid
CASP8,FAS,0.999,PMC9854651,pmcid
CASP8,JUN,0.709,PMC9854651,pmcid
CASP8,MCL1,0.825,PMC9854651,pmcid
CASP8,TLR4,0.846,PMC9854651,pmcid
CASP8,EIF3A,0.901,PMC9854651,pmcid
CASP8,EIF4E,0.947,PMC9854651,pmcid
CASP8,CYLD,0.947,PMC9854651,pmcid
CASP8,RELA,0.956,PMC9854651,pmcid
CASP8,IKBKB,0.969,PMC9854651,pmcid
CASP8,XIAP,0.97,PMC9854651,pmcid
CASP8,PIK3R1,0.977,PMC9854651,pmcid
CASP8,CHUK,0.987,PMC9854651,pmcid
CASP8,IKBKG,0.994,PMC9854651,pmcid
CASP8,TRAF6,0.995,PMC9854651,pmcid
CASP8,FASLG,0.999,PMC9854651,pmcid
CBSL,CTH,0.999,PMC9854651,pmcid
CCL20,GPR29,0.999,PMC9854651,pmcid
CCL20,IL17A,0.776,PMC9854651,pmcid
CCL20,GNB1,0.812,PMC9854651,pmcid
CCNA2,CDC6,0.999,PMC9854651,pmcid
CCNA2,MCM5,0.995,PMC9854651,pmcid
CCNA2,POLE2,0.844,PMC9854651,pmcid
CCNA2,ORC6,0.962,PMC9854651,pmcid
CCNA2,GAR1,0.911,PMC9854651,pmcid
CCNA2,SKP1,0.991,PMC9854651,pmcid
CCNA2,ORC2,0.979,PMC9854651,pmcid
CCNA2,GINS2,0.886,PMC9854651,pmcid
CCNA2,TERF2,0.908,PMC9854651,pmcid
CCNA2,CDK7,0.993,PMC9854651,pmcid
CCNA2,CCNH,0.972,PMC9854651,pmcid
CCNA2,ORC3,0.935,PMC9854651,pmcid
CCNA2,CDK4,0.997,PMC9854651,pmcid
CCNA2,MDM2,0.966,PMC9854651,pmcid
CCNA2,MNAT1,0.911,PMC9854651,pmcid
CCNA2,MCM4,0.992,PMC9854651,pmcid
CCNA2,CREBBP,0.734,PMC9854651,pmcid
CCNA2,EP300,0.861,PMC9854651,pmcid
CCNA2,MCM6,0.99,PMC9854651,pmcid
CCNA2,MCM2,0.996,PMC9854651,pmcid
CCNA2,CDK6,0.98,PMC9854651,pmcid
CCNA2,CDK2,0.999,PMC9854651,pmcid
CCNA2,TINF2,0.904,PMC9854651,pmcid
CCNA2,TP53,0.995,PMC9854651,pmcid
CCNA2,MYC,0.723,PMC9854651,pmcid
CCNA2,UBE2D1,0.728,PMC9854651,pmcid
CCNA2,MRE11A,0.744,PMC9854651,pmcid
CCNA2,CDKN2A,0.751,PMC9854651,pmcid
CCNA2,CHEK2,0.775,PMC9854651,pmcid
CCNA2,CDC7,0.813,PMC9854651,pmcid
CCNA2,PRIM1,0.821,PMC9854651,pmcid
CCNA2,RAD51,0.83,PMC9854651,pmcid
CCNA2,FANCI,0.852,PMC9854651,pmcid
CCNA2,TERF2IP,0.9,PMC9854651,pmcid
CCNA2,NOP10,0.9,PMC9854651,pmcid
CCNA2,POT1,0.903,PMC9854651,pmcid
CCNA2,NHP2,0.906,PMC9854651,pmcid
CCNA2,EXO1,0.907,PMC9854651,pmcid
CCNA2,WRAP53,0.91,PMC9854651,pmcid
CCNA2,RTEL1,0.912,PMC9854651,pmcid
CCNA2,DKC1,0.914,PMC9854651,pmcid
CCNA2,TERF1,0.917,PMC9854651,pmcid
CCNA2,CDC45,0.927,PMC9854651,pmcid
CCNA2,ORC4,0.933,PMC9854651,pmcid
CCNA2,MCM10,0.939,PMC9854651,pmcid
CCNA2,CUL1,0.941,PMC9854651,pmcid
CCNA2,ESCO2,0.942,PMC9854651,pmcid
CCNA2,TERT,0.948,PMC9854651,pmcid
CCNA2,ORC5,0.955,PMC9854651,pmcid
CCNA2,PCNA,0.976,PMC9854651,pmcid
CCNA2,MCM3,0.989,PMC9854651,pmcid
CCNA2,MCM7,0.993,PMC9854651,pmcid
CCNA2,ORC1,0.997,PMC9854651,pmcid
CCNA2,SKP2,0.999,PMC9854651,pmcid
CCNA2,CDT1,0.999,PMC9854651,pmcid
CCNH,ERCC1,0.786,PMC9854651,pmcid
CCNH,CDK7,0.999,PMC9854651,pmcid
CCNH,ERCC4,0.728,PMC9854651,pmcid
CCNH,XPC,0.73,PMC9854651,pmcid
CCNH,CETN2,0.735,PMC9854651,pmcid
CCNH,DDB1,0.741,PMC9854651,pmcid
CCNH,DDB2,0.745,PMC9854651,pmcid
CCNH,RAD23B,0.808,PMC9854651,pmcid
CCNH,XPA,0.827,PMC9854651,pmcid
CCNH,TP53,0.924,PMC9854651,pmcid
CCNH,ERCC5,0.935,PMC9854651,pmcid
CCNH,GTF2B,0.965,PMC9854651,pmcid
CCNH,CDK4,0.974,PMC9854651,pmcid
CCNH,CDK6,0.977,PMC9854651,pmcid
CCNH,GTF2E1,0.996,PMC9854651,pmcid
CCNH,GTF2E2,0.996,PMC9854651,pmcid
CCNH,CDK2,0.998,PMC9854651,pmcid
CCNH,ERCC3,0.999,PMC9854651,pmcid
CCNH,ERCC2,0.999,PMC9854651,pmcid
CCNH,MNAT1,0.999,PMC9854651,pmcid
CCNH,GTF2H4,0.999,PMC9854651,pmcid
CCNH,GTF2H1,0.999,PMC9854651,pmcid
CCNH,GTF2H2,0.999,PMC9854651,pmcid
CCNH,GTF2H5,0.999,PMC9854651,pmcid
CCNH,GTF2H3,0.999,PMC9854651,pmcid
CD22,GRB2,0.976,PMC9854651,pmcid
CD22,PTPRC,0.999,PMC9854651,pmcid
CD28,GZMB,0.746,PMC9854651,pmcid
CD28,IL2,0.914,PMC9854651,pmcid
CD28,PIK3CA,0.933,PMC9854651,pmcid
CD28,CD80,0.999,PMC9854651,pmcid
CD28,REL,0.718,PMC9854651,pmcid
CD28,IL15,0.75,PMC9854651,pmcid
CD28,CTLA4,0.936,PMC9854651,pmcid
CD28,PDCD1,0.738,PMC9854651,pmcid
CD28,IL2RA,0.742,PMC9854651,pmcid
CD28,PRF1,0.756,PMC9854651,pmcid
CD28,IL17A,0.847,PMC9854651,pmcid
CD28,FAS,0.856,PMC9854651,pmcid
CD28,PTPRC,0.861,PMC9854651,pmcid
CD28,HLA-DRA,0.924,PMC9854651,pmcid
CD28,HLA-DRB1,0.938,PMC9854651,pmcid
CD28,GAB2,0.943,PMC9854651,pmcid
CD28,FLNA,0.968,PMC9854651,pmcid
CD28,PIK3R1,0.993,PMC9854651,pmcid
CD28,GRB2,0.999,PMC9854651,pmcid
CD28,LCK,0.999,PMC9854651,pmcid
CD28,CD86,0.999,PMC9854651,pmcid
CD74,HLA-DQB1,0.969,PMC9854651,pmcid
CD74,HLA-DQA1,0.984,PMC9854651,pmcid
CD74,HLA-DMB,0.985,PMC9854651,pmcid
CD74,HLA-DRB1,0.994,PMC9854651,pmcid
CD74,HLA-DRA,0.999,PMC9854651,pmcid
CD80,IL2,0.829,PMC9854651,pmcid
CD80,PIK3CA,0.911,PMC9854651,pmcid
CD80,IL17A,0.728,PMC9854651,pmcid
CD80,TLR4,0.787,PMC9854651,pmcid
CD80,PTPRC,0.864,PMC9854651,pmcid
CD80,GAB2,0.903,PMC9854651,pmcid
CD80,PIK3R1,0.905,PMC9854651,pmcid
CD80,GRB2,0.927,PMC9854651,pmcid
CD80,HLA-DRA,0.935,PMC9854651,pmcid
CD80,HLA-DRB1,0.944,PMC9854651,pmcid
CD80,LCK,0.945,PMC9854651,pmcid
CD80,PTPN11,0.946,PMC9854651,pmcid
CD80,PDCD1,0.965,PMC9854651,pmcid
CD80,CD86,0.981,PMC9854651,pmcid
CD80,CTLA4,0.999,PMC9854651,pmcid
CD86,GZMB,0.705,PMC9854651,pmcid
CD86,IL2,0.816,PMC9854651,pmcid
CD86,PIK3CA,0.907,PMC9854651,pmcid
CD86,CTLA4,0.999,PMC9854651,pmcid
CD86,PDCD1,0.726,PMC9854651,pmcid
CD86,IL17A,0.743,PMC9854651,pmcid
CD86,TLR4,0.819,PMC9854651,pmcid
CD86,PTPRC,0.88,PMC9854651,pmcid
CD86,GAB2,0.904,PMC9854651,pmcid
CD86,PIK3R1,0.909,PMC9854651,pmcid
CD86,GRB2,0.927,PMC9854651,pmcid
CD86,PTPN11,0.94,PMC9854651,pmcid
CD86,LCK,0.946,PMC9854651,pmcid
CD86,HLA-DRA,0.954,PMC9854651,pmcid
CD86,HLA-DRB1,0.956,PMC9854651,pmcid
CDC34,CUL2,0.705,PMC9854651,pmcid
CDC34,FLI1,0.75,PMC9854651,pmcid
CDC34,IKBKG,0.755,PMC9854651,pmcid
CDC34,NEDD8,0.882,PMC9854651,pmcid
CDC34,NFKB1,0.911,PMC9854651,pmcid
CDC34,UBE2D1,0.918,PMC9854651,pmcid
CDC34,UBE2E2,0.93,PMC9854651,pmcid
CDC34,RELA,0.935,PMC9854651,pmcid
CDC34,UBE2M,0.936,PMC9854651,pmcid
CDC34,UBE2D3,0.937,PMC9854651,pmcid
CDC34,NFKBIA,0.972,PMC9854651,pmcid
CDC34,SKP2,0.995,PMC9854651,pmcid
CDC34,FBXW7,0.997,PMC9854651,pmcid
CDC34,SKP1,0.999,PMC9854651,pmcid
CDC34,CUL1,0.999,PMC9854651,pmcid
CDC34,RBX1,0.999,PMC9854651,pmcid
CDC45,CDC6,0.997,PMC9854651,pmcid
CDC45,MCM5,0.999,PMC9854651,pmcid
CDC45,POLE2,0.999,PMC9854651,pmcid
CDC45,ORC6,0.982,PMC9854651,pmcid
CDC45,ORC2,0.99,PMC9854651,pmcid
CDC45,GINS2,0.999,PMC9854651,pmcid
CDC45,ORC3,0.985,PMC9854651,pmcid
CDC45,CDK4,0.843,PMC9854651,pmcid
CDC45,MCM4,0.999,PMC9854651,pmcid
CDC45,GINS1,0.998,PMC9854651,pmcid
CDC45,MCM6,0.999,PMC9854651,pmcid
CDC45,MCM2,0.999,PMC9854651,pmcid
CDC45,POLA2,0.996,PMC9854651,pmcid
CDC45,CDK2,0.98,PMC9854651,pmcid
CDC45,GINS4,0.999,PMC9854651,pmcid
CDC45,FANCD2,0.783,PMC9854651,pmcid
CDC45,ORC5,0.987,PMC9854651,pmcid
CDC45,CDT1,0.992,PMC9854651,pmcid
CDC45,ESCO2,0.7,PMC9854651,pmcid
CDC45,MCM7,0.999,PMC9854651,pmcid
CDC45,FANCI,0.885,PMC9854651,pmcid
CDC45,POLE,0.996,PMC9854651,pmcid
CDC45,PRIM1,0.997,PMC9854651,pmcid
CDC45,MCMBP,0.809,PMC9854651,pmcid
CDC45,WDHD1,0.999,PMC9854651,pmcid
CDC45,EXO1,0.964,PMC9854651,pmcid
CDC45,ORC1,0.996,PMC9854651,pmcid
CDC45,RPA2,0.948,PMC9854651,pmcid
CDC45,POLE3,0.975,PMC9854651,pmcid
CDC45,POLA1,0.999,PMC9854651,pmcid
CDC45,PCNA,0.965,PMC9854651,pmcid
CDC45,CHEK2,0.973,PMC9854651,pmcid
CDC45,RAD51,0.952,PMC9854651,pmcid
CDC45,CDC7,0.992,PMC9854651,pmcid
CDC45,CDKN2A,0.806,PMC9854651,pmcid
CDC45,ORC4,0.958,PMC9854651,pmcid
CDC45,POLE4,0.964,PMC9854651,pmcid
CDC45,RECQL4,0.965,PMC9854651,pmcid
CDC45,PRIM2,0.995,PMC9854651,pmcid
CDC45,MCM3,0.999,PMC9854651,pmcid
CDC45,MCM10,0.999,PMC9854651,pmcid
CDC6,RECQL4,0.709,PMC9854651,pmcid
CDC6,SKP2,0.716,PMC9854651,pmcid
CDC6,FANCI,0.731,PMC9854651,pmcid
CDC6,MYC,0.741,PMC9854651,pmcid
CDC6,CDK6,0.789,PMC9854651,pmcid
CDC6,MCMBP,0.807,PMC9854651,pmcid
CDC6,CDK4,0.82,PMC9854651,pmcid
CDC6,CDKN2A,0.827,PMC9854651,pmcid
CDC6,RAD51,0.871,PMC9854651,pmcid
CDC6,ESCO2,0.885,PMC9854651,pmcid
CDC6,GINS4,0.886,PMC9854651,pmcid
CDC6,PCNA,0.892,PMC9854651,pmcid
CDC6,CHEK2,0.9,PMC9854651,pmcid
CDC6,KITLG,0.902,PMC9854651,pmcid
CDC6,GINS1,0.908,PMC9854651,pmcid
CDC6,EXO1,0.912,PMC9854651,pmcid
CDC6,POLE4,0.917,PMC9854651,pmcid
CDC6,UBE2D1,0.924,PMC9854651,pmcid
CDC6,POLE3,0.929,PMC9854651,pmcid
CDC6,RPA2,0.945,PMC9854651,pmcid
CDC6,WDHD1,0.977,PMC9854651,pmcid
CDC6,GINS2,0.977,PMC9854651,pmcid
CDC6,FBXW7,0.979,PMC9854651,pmcid
CDC6,CDC7,0.98,PMC9854651,pmcid
CDC6,PRIM2,0.98,PMC9854651,pmcid
CDC6,POLE,0.987,PMC9854651,pmcid
CDC6,POLE2,0.992,PMC9854651,pmcid
CDC6,PRIM1,0.994,PMC9854651,pmcid
CDC6,POLA2,0.996,PMC9854651,pmcid
CDC6,POLA1,0.997,PMC9854651,pmcid
CDC6,MCM10,0.998,PMC9854651,pmcid
CDC6,CDK2,0.999,PMC9854651,pmcid
CDC6,MCM5,0.999,PMC9854651,pmcid
CDC6,MCM4,0.999,PMC9854651,pmcid
CDC6,MCM7,0.999,PMC9854651,pmcid
CDC6,MCM3,0.999,PMC9854651,pmcid
CDC6,ORC4,0.999,PMC9854651,pmcid
CDC6,MCM6,0.999,PMC9854651,pmcid
CDC6,MCM2,0.999,PMC9854651,pmcid
CDC6,ORC1,0.999,PMC9854651,pmcid
CDC6,ORC3,0.999,PMC9854651,pmcid
CDC6,ORC6,0.999,PMC9854651,pmcid
CDC6,CDT1,0.999,PMC9854651,pmcid
CDC6,ORC2,0.999,PMC9854651,pmcid
CDC6,ORC5,0.999,PMC9854651,pmcid
CDC7,MCM5,0.998,PMC9854651,pmcid
CDC7,POLE2,0.957,PMC9854651,pmcid
CDC7,ORC6,0.983,PMC9854651,pmcid
CDC7,ORC2,0.919,PMC9854651,pmcid
CDC7,ORC3,0.812,PMC9854651,pmcid
CDC7,CDK4,0.877,PMC9854651,pmcid
CDC7,MCM4,0.999,PMC9854651,pmcid
CDC7,MCM6,0.998,PMC9854651,pmcid
CDC7,MCM2,0.999,PMC9854651,pmcid
CDC7,POLA2,0.949,PMC9854651,pmcid
CDC7,CDK2,0.972,PMC9854651,pmcid
CDC7,GINS4,0.78,PMC9854651,pmcid
CDC7,FBXW7,0.708,PMC9854651,pmcid
CDC7,ORC5,0.976,PMC9854651,pmcid
CDC7,CDT1,0.98,PMC9854651,pmcid
CDC7,MCM7,0.994,PMC9854651,pmcid
CDC7,POLE,0.947,PMC9854651,pmcid
CDC7,PRIM1,0.965,PMC9854651,pmcid
CDC7,MCMBP,0.771,PMC9854651,pmcid
CDC7,WDHD1,0.854,PMC9854651,pmcid
CDC7,ORC1,0.973,PMC9854651,pmcid
CDC7,RPA2,0.805,PMC9854651,pmcid
CDC7,POLE3,0.908,PMC9854651,pmcid
CDC7,POLA1,0.964,PMC9854651,pmcid
CDC7,CHEK2,0.983,PMC9854651,pmcid
CDC7,CDKN2A,0.774,PMC9854651,pmcid
CDC7,ORC4,0.844,PMC9854651,pmcid
CDC7,POLE4,0.902,PMC9854651,pmcid
CDC7,PRIM2,0.928,PMC9854651,pmcid
CDC7,MCM3,0.991,PMC9854651,pmcid
CDC7,MCM10,0.995,PMC9854651,pmcid
CDH23,USH1C,0.999,PMC9854651,pmcid
CDH23,USH1G,0.925,PMC9854651,pmcid
CDH23,MYO7A,0.984,PMC9854651,pmcid
CDH3,KRT5,0.755,PMC9854651,pmcid
CDH3,CTNNB1,0.999,PMC9854651,pmcid
CDK2,MAPK1,0.931,PMC9854651,pmcid
CDK2,MCM5,0.948,PMC9854651,pmcid
CDK2,RBX1,0.788,PMC9854651,pmcid
CDK2,POLE2,0.939,PMC9854651,pmcid
CDK2,ORC6,0.958,PMC9854651,pmcid
CDK2,GAR1,0.905,PMC9854651,pmcid
CDK2,SKP1,0.99,PMC9854651,pmcid
CDK2,MLH1,0.799,PMC9854651,pmcid
CDK2,ORC2,0.994,PMC9854651,pmcid
CDK2,TERF2,0.942,PMC9854651,pmcid
CDK2,KRAS,0.715,PMC9854651,pmcid
CDK2,CDK7,0.992,PMC9854651,pmcid
CDK2,ORC3,0.936,PMC9854651,pmcid
CDK2,CDK4,0.922,PMC9854651,pmcid
CDK2,MDM2,0.971,PMC9854651,pmcid
CDK2,MNAT1,0.949,PMC9854651,pmcid
CDK2,MCM4,0.986,PMC9854651,pmcid
CDK2,CREBBP,0.841,PMC9854651,pmcid
CDK2,EP300,0.876,PMC9854651,pmcid
CDK2,MCM6,0.869,PMC9854651,pmcid
CDK2,MCM2,0.978,PMC9854651,pmcid
CDK2,NBN,0.845,PMC9854651,pmcid
CDK2,POLA2,0.947,PMC9854651,pmcid
CDK2,CDK6,0.973,PMC9854651,pmcid
CDK2,PTEN,0.709,PMC9854651,pmcid
CDK2,ESCO2,0.726,PMC9854651,pmcid
CDK2,EXO1,0.732,PMC9854651,pmcid
CDK2,FBXW7,0.742,PMC9854651,pmcid
CDK2,KAT5,0.746,PMC9854651,pmcid
CDK2,IKBKG,0.759,PMC9854651,pmcid
CDK2,JUN,0.765,PMC9854651,pmcid
CDK2,RAD50,0.77,PMC9854651,pmcid
CDK2,CTNNB1,0.772,PMC9854651,pmcid
CDK2,MRE11A,0.791,PMC9854651,pmcid
CDK2,XRCC6,0.794,PMC9854651,pmcid
CDK2,MCM10,0.829,PMC9854651,pmcid
CDK2,H2AFX,0.855,PMC9854651,pmcid
CDK2,HSP90AA1,0.869,PMC9854651,pmcid
CDK2,RAD51,0.869,PMC9854651,pmcid
CDK2,CDKN2A,0.878,PMC9854651,pmcid
CDK2,NOP10,0.9,PMC9854651,pmcid
CDK2,TERF2IP,0.901,PMC9854651,pmcid
CDK2,NHP2,0.903,PMC9854651,pmcid
