source_gene,source_gene_ensembl,target_endpoint,layer_type,edge_weight_castle_effect,edge_sign,sign_basis,q_value,citation,citation_source
SNX13,ENSG00000071189,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.003096086,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
MTMR9,ENSG00000104643,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.003096086,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
AC002398.9,ENSG00000188223,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.003627208,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
BNC2,ENSG00000173068,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.003791254,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
MNT,ENSG00000070444,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.003978131,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ARPC3,ENSG00000111229,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.004440765,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SAFB,ENSG00000160633,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.004913738,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SELT,ENSG00000198843,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.004913738,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
DSCR3,ENSG00000157538,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.005031863,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
DEGS1,ENSG00000143753,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.005031863,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ASCC2,ENSG00000100325,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.005240291,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
TRNAU1AP,ENSG00000180098,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.005649856,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
RAB9A,ENSG00000123595,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.005967646,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
TBC1D5,ENSG00000131374,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.006262296,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
TMEM9B,ENSG00000175348,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.007318852,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ARPC4-TTLL3,ENSG00000250151,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.008474593,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
GPR143,ENSG00000101850,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.008625554,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
HSPA13,ENSG00000155304,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.008625554,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
TRAPPC13,ENSG00000113597,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.009687682,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
B4GALT1,ENSG00000086062,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.5,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.009816257,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
BLOC1S6,ENSG00000104164,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.010445575,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SLC26A6,ENSG00000225697,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.010445575,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
USF2,ENSG00000105698,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.010816882,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
GPS2,ENSG00000132522,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.011128411,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
INTS8,ENSG00000164941,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.011396467,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
HSPA5,ENSG00000044574,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.011847352,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
BLOC1S5-TXNDC5,ENSG00000259040,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.012247858,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SPCS3,ENSG00000129128,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,3.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.012505856,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
RB1,ENSG00000139687,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.013563045,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ARL8B,ENSG00000134108,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.01410458,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
IRF2BP2,ENSG00000168264,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.014568005,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
VPS41,ENSG00000006715,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.5,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.015046832,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CSK,ENSG00000103653,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.015384889,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
HDAC4,ENSG00000068024,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.016166135,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
TAOK1,ENSG00000160551,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.016978602,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
FIP1L1,ENSG00000145216,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.018659276,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
BLOC1S5,ENSG00000188428,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.019583917,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SRSF3,ENSG00000112081,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.022433899,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
COMMD4,ENSG00000140365,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.5,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.022433899,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CCNK,ENSG00000090061,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.022433899,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CANX,ENSG00000127022,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.023013651,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ZC3H4,ENSG00000130749,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.5,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.026052169,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
VPS18,ENSG00000104142,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.026625188,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
BAMBI,ENSG00000095739,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.026625188,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
KIRREL,ENSG00000183853,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.026835175,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SPTLC2,ENSG00000100596,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.027098733,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CD72,ENSG00000137101,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.02738771,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
WDFY1,ENSG00000085449,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.029298242,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
GLTSCR1,ENSG00000063169,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.030710861,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
AP3B1,ENSG00000132842,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.031182161,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CCDC93,ENSG00000125633,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.5,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.032097665,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
RBM5,ENSG00000003756,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.032623583,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
F8A3,ENSG00000185990,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.5,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.033252817,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
TMEM30A,ENSG00000112697,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.034284692,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
FIG4,ENSG00000112367,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.034655775,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
GOLGA8M,ENSG00000188626,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.035713022,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
INTS6,ENSG00000102786,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.035713022,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
VPS39,ENSG00000166887,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.036793518,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SHISA4,ENSG00000198892,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.036793518,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ZBTB1,ENSG00000126804,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.036793518,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
C9ORF91,ENSG00000157693,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.037940056,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CDK12,ENSG00000167258,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.037940056,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SLC24A4,ENSG00000140090,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.044255188,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CCZ1B,ENSG00000146574,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.045439733,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
F8A1,ENSG00000197932,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.045439733,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CCDC53,ENSG00000120860,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.052164944,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SIRT6,ENSG00000077463,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.052991966,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
C11ORF30,ENSG00000158636,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.055173294,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SPTSSA,ENSG00000165389,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.056569263,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
VPS26A,ENSG00000122958,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.057511305,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SMEK1,ENSG00000100796,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.057511305,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
RPL17-C18ORF32,ENSG00000215472,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.068379321,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ARPC4,ENSG00000241553,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.068379321,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SPCS2,ENSG00000118363,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.069776217,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CLN3,ENSG00000261832,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.073027238,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
DGKD,ENSG00000077044,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.074568736,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
COMMD3,ENSG00000148444,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.076379756,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SMG7,ENSG00000116698,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.076379756,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SLAIN1,ENSG00000139737,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,4.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.077824109,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
PSENEN,ENSG00000205155,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.077824109,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ALKBH8,ENSG00000137760,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,0.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.0815365,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ZNF428,ENSG00000131116,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.083279198,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SPAG16,ENSG00000144451,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.08753218,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
HAUS3,ENSG00000214367,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.091774165,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
