GeneID,Symbol,GeneInfo,Localization,Process,Function,Combined_casTLE_Effect,Combined_casTLE_Score,Minimum_Effect_Estimate,Maximum_Effect_Estimate,p_value,q_value,direction_note
ENSG00000067082,KLF6,Kruppel-like factor 6,nucleus|cytoplasm|,"transcription, DNA-templated|cytokine-mediated signaling pathway|B cell differentiation|positive regulation of transcription, DNA-templated|",DNA binding|metal ion binding|,1.1,52.9,0.8,1.5,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000141027,NCOR1,nuclear receptor corepressor 1,histone deacetylase complex|nuclear chromatin|nucleus|nucleus|nucleoplasm|transcription factor complex|cytoplasm|spindle microtubule|membrane|Sin3 complex|transcriptional repressor complex|,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation|transcription, DNA-templated|transcription from RNA polymerase II promoter|transcription initiation from RNA polymerase II promoter|transforming growth factor beta receptor signaling pathway|Notch signaling pathway|gene expression|negative regulation of phosphatidylinositol 3-kinase signaling|chromatin modification|thalamus development|positive regulation of histone deacetylation|circadian regulation of gene expression|regulation of multicellular organism growth|cholesterol homeostasis|cellular lipid metabolic process|small molecule metabolic process|negative regulation of JNK cascade|spindle assembly|definitive erythrocyte differentiation|regulation of glycolytic process by negative regulation of transcription from RNA polymerase II promoter|regulation of lipid transport by negative regulation of transcription from RNA polymerase II promoter|regulation of fatty acid transport|",RNA polymerase II activating transcription factor binding|chromatin binding|sequence-specific DNA binding transcription factor activity|transcription corepressor activity|transcription corepressor activity|protein binding|histone deacetylase regulator activity|nuclear hormone receptor binding|histone deacetylase binding|sequence-specific DNA binding|transcription regulatory region DNA binding|retinoid X receptor binding|thyroid hormone receptor binding|,1.1,54.1,0.9,1.6,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000100650,SRSF5,serine/arginine-rich splicing factor 5,nucleus|nucleoplasm|nucleolus|cytoplasm|nuclear speck|,"mRNA splicing, via spliceosome|transcription from RNA polymerase II promoter|termination of RNA polymerase II transcription|mRNA splice site selection|mRNA processing|mRNA export from nucleus|RNA splicing|response to wounding|gene expression|mRNA 3'-end processing|regulation of cell cycle|",nucleotide binding|protein binding|poly(A) RNA binding|RS domain binding|,1.1,58.8,0.8,1.4,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000177565,TBL1XR1,transducin (beta)-like 1 X-linked receptor 1,histone deacetylase complex|nucleus|nucleoplasm|spindle microtubule|transcriptional repressor complex|,"negative regulation of transcription from RNA polymerase II promoter|transcription, DNA-templated|Notch signaling pathway|chromatin modification|proteasome-mediated ubiquitin-dependent protein catabolic process|cellular lipid metabolic process|small molecule metabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|canonical Wnt signaling pathway|",transcription corepressor activity|transcription corepressor activity|protein binding|beta-catenin binding|histone binding|transcription regulatory region DNA binding|transcription regulatory region DNA binding|protein N-terminus binding|,1.1,53.5,0.8,1.5,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000103544,C16ORF62,chromosome 16 open reading frame 62,integral component of membrane|,,,2.0,48.4,1.2,2.6,4e-06,0.000324585,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000137770,CTDSPL2,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2",,dephosphorylation|,phosphoprotein phosphatase activity|,1.7,48.8,1.0,2.4,4e-06,0.000324585,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000152128,TMEM163,transmembrane protein 163,cell junction|integral component of synaptic vesicle membrane|early endosome membrane|,,zinc ion binding|,1.4,50.4,0.9,2.0,4e-06,0.000324585,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000156304,SCAF4,SR-related CTD-associated factor 4,nucleus|,,nucleotide binding|poly(A) RNA binding|,1.3,50.1,1.0,1.8,4e-06,0.000324585,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000148655,C10ORF11,chromosome 10 open reading frame 11,,melanocyte differentiation|,,1.6,46.2,1.1,2.4,8e-06,0.000574266,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000114209,PDCD10,programmed cell death 10,Golgi membrane|cytosol|plasma membrane|extracellular vesicular exosome|,angiogenesis|apoptotic process|positive regulation of cell proliferation|negative regulation of apoptotic process|positive regulation of MAP kinase activity|,protein binding|protein homodimerization activity|protein N-terminus binding|,1.5,46.5,1.1,2.1,8e-06,0.000574266,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000052802,MSMO1,methylsterol monooxygenase 1,endoplasmic reticulum|endoplasmic reticulum membrane|plasma membrane|integral component of membrane|,fatty acid metabolic process|fatty acid biosynthetic process|cholesterol biosynthetic process|steroid metabolic process|small molecule metabolic process|oxidation-reduction process|,C-4 methylsterol oxidase activity|iron ion binding|,1.2,45.7,0.8,1.6,8e-06,0.000574266,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000170348,TMED10,transmembrane emp24-like trafficking protein 10 (yeast),Golgi membrane|Golgi membrane|endoplasmic reticulum|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|cis-Golgi network|plasma membrane|integral component of membrane|COPI-coated vesicle|trans-Golgi network transport vesicle|transport vesicle membrane|secretory granule membrane|endoplasmic reticulum-Golgi intermediate compartment membrane|melanosome|zymogen granule membrane|extracellular vesicular exosome|gamma-secretase complex|,"response to acid|kidney development|intracellular protein transport|ER to Golgi vesicle-mediated transport|retrograde vesicle-mediated transport, Golgi to ER|Golgi organization|beta-amyloid formation|cargo loading into vesicle|COPI-coated vesicle budding|response to alkaloid|regulated secretory pathway|vesicle targeting, to, from or within Golgi|COPI coating of Golgi vesicle|COPII vesicle coating|protein oligomerization|",protein binding|syntaxin binding|protein complex binding|,1.5,44.6,0.9,2.0,1e-05,0.000666558,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000139505,MTMR6,myotubularin related protein 6,nuclear envelope|cytoplasm|cytosol|,protein dephosphorylation|phospholipid metabolic process|phosphatidylinositol biosynthetic process|peptidyl-tyrosine dephosphorylation|peptidyl-tyrosine dephosphorylation|small molecule metabolic process|potassium ion transmembrane transport|,protein serine/threonine phosphatase activity|protein tyrosine phosphatase activity|calcium-activated potassium channel activity|,1.2,44.6,0.9,1.7,1e-05,0.000666558,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000005339,CREBBP,CREB binding protein,histone acetyltransferase complex|nuclear chromatin|condensed chromosome outer kinetochore|nucleus|nucleus|nucleoplasm|transcription factor complex|cytoplasm|nuclear body|,"negative regulation of transcription from RNA polymerase II promoter|response to hypoxia|chromatin organization|regulation of transcription, DNA-templated|regulation of transcription, DNA-templated|transcription initiation from RNA polymerase II promoter|protein complex assembly|signal transduction|Notch signaling pathway|regulation of smoothened signaling pathway|gene expression|viral process|histone acetylation|N-terminal peptidyl-lysine acetylation|germ-line stem cell maintenance|positive regulation of type I interferon production|homeostatic process|embryonic digit morphogenesis|cellular lipid metabolic process|small molecule metabolic process|innate immune response|positive regulation of transcription, DNA-templated|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|rhythmic process|regulation of transcription from RNA polymerase II promoter in response to hypoxia|cellular response to hypoxia|",core promoter proximal region sequence-specific DNA binding|RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription|RNA polymerase II transcription factor binding|RNA polymerase II activating transcription factor binding|RNA polymerase II transcription coactivator activity|RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription|p53 binding|chromatin binding|sequence-specific DNA binding transcription factor activity|transcription coactivator activity|transcription coactivator activity|transcription coactivator activity|histone acetyltransferase activity|signal transducer activity|protein binding|transcription factor binding|zinc ion binding|acetyltransferase activity|MRF binding|,1.0,45.4,0.7,1.4,1e-05,0.000666558,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000105875,WDR91,WD repeat domain 91,,,,1.5,43.6,1.1,2.1,1.6e-05,0.000880643,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000122257,RBBP6,retinoblastoma binding protein 6,nucleus|chromosome|cytoplasm|microtubule organizing center|,in utero embryonic development|multicellular organism growth|protein ubiquitination involved in ubiquitin-dependent protein catabolic process|embryonic organ development|somite development|,ubiquitin-protein transferase activity|protein binding|zinc ion binding|ligase activity|poly(A) RNA binding|,1.4,41.2,1.1,2.1,1.6e-05,0.000880643,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000100393,EP300,E1A binding protein p300,histone acetyltransferase complex|chromatin|nucleus|nucleoplasm|transcription factor complex|cytoplasm|protein-DNA complex|,"G2/M transition of mitotic cell cycle|negative regulation of transcription from RNA polymerase II promoter|mitotic cell cycle|response to hypoxia|somitogenesis|liver development|positive regulation of protein phosphorylation|chromatin organization|transcription, DNA-templated|regulation of transcription, DNA-templated|internal protein amino acid acetylation|apoptotic process|Notch signaling pathway|nervous system development|heart development|skeletal muscle tissue development|circadian rhythm|response to glucose|organ morphogenesis|positive regulation of glycoprotein biosynthetic process|positive regulation of cell death|viral process|N-terminal peptidyl-lysine acetylation|internal peptidyl-lysine acetylation|lung development|response to cobalt ion|positive regulation of protein binding|positive regulation of type I interferon production|response to retinoic acid|positive regulation of collagen biosynthetic process|positive regulation of protein import into nucleus, translocation|response to tumor necrosis factor|response to drug|intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator|positive regulation of DNA binding|protein kinase B signaling|response to estrogen|positive regulation by host of viral transcription|histone H4 acetylation|histone H2B acetylation|innate immune response|response to ethanol|positive regulation of translation|positive regulation of axon extension|positive regulation of cell size|positive regulation of proteolysis|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|digestive tract development|positive regulation of protein secretion|positive regulation of sequence-specific DNA binding transcription factor activity|response to glucocorticoid|response to calcium ion|regulation of cell cycle|regulation of angiotensin metabolic process|positive regulation of sarcomere organization|regulation of androgen receptor signaling pathway|regulation of transcription from RNA polymerase II promoter in response to hypoxia|protein-DNA complex assembly|cellular response to hydrogen peroxide|response to fatty acid|cellular response to organic cyclic compound|cellular response to hypoxia|regulation of tubulin deacetylation|","RNA polymerase II core promoter proximal region sequence-specific DNA binding|core promoter binding|RNA polymerase II activating transcription factor binding|p53 binding|DNA binding|chromatin binding|transcription coactivator activity|transcription coactivator activity|antigen binding|histone acetyltransferase activity|lysine N-acetyltransferase activity|protein binding|beta-catenin binding|transcription factor binding|zinc ion binding|acetyltransferase activity|acetyltransferase activity|transferase activity, transferring acyl groups|chromatin DNA binding|protein complex binding|activating transcription factor binding|nuclear hormone receptor binding|glucocorticoid receptor binding|peroxisome proliferator activated receptor binding|bHLH transcription factor binding|SMAD binding|androgen receptor binding|mitogen-activated protein kinase binding|NF-kappaB binding|",1.2,42.2,0.8,1.8,1.6e-05,0.000880643,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000182240,BACE2,beta-site APP-cleaving enzyme 2,endosome|endoplasmic reticulum|Golgi apparatus|cell surface|integral component of membrane|,proteolysis|membrane protein ectodomain proteolysis|peptide hormone processing|negative regulation of amyloid precursor protein biosynthetic process|,aspartic-type endopeptidase activity|,1.1,42.3,0.8,1.5,1.6e-05,0.000880643,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000122566,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,nucleus|nucleoplasm|spliceosomal complex|cytoplasm|membrane|ribonucleoprotein complex|catalytic step 2 spliceosome|,"mRNA splicing, via spliceosome|mRNA splicing, via spliceosome|mRNA processing|RNA splicing|gene expression|negative regulation of mRNA splicing, via spliceosome|RNA transport|",nucleotide binding|RNA binding|protein binding|single-stranded telomeric DNA binding|poly(A) RNA binding|pre-mRNA intronic binding|,1.1,43.4,0.9,2.1,1.6e-05,0.000880643,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000119899,SLC17A5,"solute carrier family 17 (acidic sugar transporter), member 5",cytoplasm|lysosomal membrane|lysosomal membrane|plasma membrane|integral component of plasma membrane|membrane|cell junction|synaptic vesicle membrane|,ion transport|anion transport|amino acid transport|sialic acid transport|proton transport|transmembrane transport|,sugar:proton symporter activity|sialic acid transmembrane transporter activity|,1.2,40.8,0.9,1.7,1.8e-05,0.000972474,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000145781,COMMD10,COMM domain containing 10,,,protein binding|,1.6,40.2,1.1,2.5,2e-05,0.001063731,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000167716,WDR81,WD repeat domain 81,,metabolic process|negative regulation of phosphatase activity|,"transferase activity, transferring phosphorus-containing groups|",2.0,40.1,1.3,3.0,2.2e-05,0.001137683,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000166266,CUL5,cullin 5,nucleus|cytosol|plasma membrane|Cul5-RING ubiquitin ligase complex|,G1/S transition of mitotic cell cycle|ubiquitin-dependent protein catabolic process|response to osmotic stress|cell cycle arrest|cell proliferation|negative regulation of cell proliferation|viral process|protein ubiquitination|cytosolic calcium ion homeostasis|calcium ion transmembrane transport|intrinsic apoptotic signaling pathway|,receptor activity|calcium channel activity|protein binding|ubiquitin protein ligase binding|,1.1,39.6,0.8,1.7,2.2e-05,0.001137683,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000196072,BLOC1S2,"biogenesis of lysosomal organelles complex-1, subunit 2",gamma-tubulin complex|nucleus|nucleus|mitochondrion|centrosome|centrosome|BLOC-1 complex|recycling endosome|,"microtubule nucleation|anterograde axon cargo transport|positive regulation of cell proliferation|extrinsic apoptotic signaling pathway via death domain receptors|neuron projection development|melanosome organization|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|anterograde synaptic vesicle transport|platelet dense granule organization|mitochondrial outer membrane permeabilization|",protein binding|protein C-terminus binding|protein C-terminus binding|gamma-tubulin binding|,1.0,39.1,0.7,1.5,2.4e-05,0.001187277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000115091,ACTR3,ARP3 actin-related protein 3 homolog (yeast),Golgi membrane|podosome|cytosol|Arp2/3 protein complex|actin cytoskeleton|membrane|lamellipodium|hemidesmosome|excitatory synapse|extracellular vesicular exosome|,cellular component movement|establishment or maintenance of cell polarity|asymmetric cell division|response to carbohydrate|positive regulation of lamellipodium assembly|positive regulation of actin filament polymerization|meiotic cytokinesis|Fc-gamma receptor signaling pathway involved in phagocytosis|regulation of myosin II filament organization|innate immune response|positive regulation of neuron differentiation|response to antibiotic|positive regulation of dendrite morphogenesis|positive regulation of filopodium assembly|spindle localization|cilium morphogenesis|,actin binding|protein binding|ATP binding|,1.6,36.7,1.1,2.5,3.4e-05,0.001568584,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000100888,CHD8,chromodomain helicase DNA binding protein 8,nucleus|protein complex|MLL1 complex|,"in utero embryonic development|ATP catabolic process|transcription, DNA-templated|negative regulation of Wnt signaling pathway|DNA duplex unwinding|ATP-dependent chromatin remodeling|negative regulation of transcription, DNA-templated|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase III promoter|canonical Wnt signaling pathway|negative regulation of fibroblast apoptotic process|",p53 binding|DNA binding|DNA helicase activity|protein binding|ATP binding|beta-catenin binding|DNA-dependent ATPase activity|methylated histone binding|histone binding|armadillo repeat domain binding|,1.0,35.1,0.7,1.5,4.6e-05,0.00188499,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000070761,C16ORF80,,,,,1.0,34.2,0.7,1.5,5.6e-05,0.002223752,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000047579,DTNBP1,dystrobrevin binding protein 1,nucleus|cytoplasm|endoplasmic reticulum membrane|cytosol|endosome membrane|postsynaptic density|sarcoplasm|cell junction|axon|growth cone|synaptic vesicle membrane|synaptic vesicle membrane|BLOC-1 complex|melanosome membrane|sarcolemma|neuron projection|dendritic spine|postsynaptic membrane|,positive regulation of neurotransmitter secretion|post-Golgi vesicle-mediated transport|blood coagulation|anterograde axon cargo transport|positive regulation of gene expression|regulation of dopamine secretion|neuron projection development|actin cytoskeleton reorganization|melanosome organization|anterograde synaptic vesicle transport|neuron projection morphogenesis|platelet dense granule organization|regulation of dopamine receptor signaling pathway|membrane organization|,protein binding|,1.7,34.1,1.0,2.5,6e-05,0.002364299,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000180917,CMTR2,cap methyltransferase 2,nucleus|cytoplasm|integral component of membrane|,7-methylguanosine mRNA capping|cap2 mRNA methylation|,mRNA (nucleoside-2'-O-)-methyltransferase activity|,1.6,33.5,1.1,2.6,7.2e-05,0.002742412,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000071189,SNX13,sorting nexin 13,early endosome|early endosome membrane|,intracellular protein transport|termination of G-protein coupled receptor signaling pathway|positive regulation of GTPase activity|,phosphatidylinositol binding|,1.1,33.2,0.7,1.6,8.4e-05,0.003096086,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000104643,MTMR9,myotubularin related protein 9,cytoplasm|,dephosphorylation|regulation of catalytic activity|,protein binding|phosphatase activity|enzyme regulator activity|,1.0,33.2,0.7,1.5,8.4e-05,0.003096086,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000188223,AC002398.9,,,,,1.7,32.8,1.1,2.5,0.0001,0.003627208,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000173068,BNC2,basonuclin 2,nucleus|cytoplasm|plasma membrane|,"endochondral bone growth|transcription, DNA-templated|regulation of transcription, DNA-templated|tongue development|palate development|mesenchyme development|",DNA binding|metal ion binding|,1.4,32.6,0.9,2.5,0.000106,0.003791254,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000070444,MNT,MAX network transcriptional repressor,nucleus|,negative regulation of transcription from RNA polymerase II promoter|transcription from RNA polymerase II promoter|multicellular organismal development|cell aging|negative regulation of cell proliferation|regulation of cell cycle|negative regulation of apoptotic signaling pathway|,RNA polymerase II regulatory region sequence-specific DNA binding|RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription|chromatin binding|sequence-specific DNA binding transcription factor activity|transcription coactivator activity|transcription corepressor activity|protein dimerization activity|,1.1,32.3,0.7,1.8,0.000112,0.003978131,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000111229,ARPC3,"actin related protein 2/3 complex, subunit 3, 21kDa",cytosol|Arp2/3 protein complex|actin cytoskeleton|membrane|lamellipodium|extracellular vesicular exosome|,cellular component movement|Arp2/3 complex-mediated actin nucleation|Fc-gamma receptor signaling pathway involved in phagocytosis|innate immune response|,actin binding|structural constituent of cytoskeleton|protein binding|,1.2,31.7,0.8,1.9,0.00013,0.004440765,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000160633,SAFB,scaffold attachment factor B,nucleus|,"chromatin organization|transcription, DNA-templated|intracellular estrogen receptor signaling pathway|growth|hormone metabolic process|positive regulation of transcription from RNA polymerase II promoter|",nucleotide binding|core promoter binding|chromatin binding|double-stranded DNA binding|protein binding|poly(A) RNA binding|,1.3,31.4,0.8,1.9,0.000146,0.004913738,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000198843,SELT,selenoprotein T,,selenocysteine incorporation|cell redox homeostasis|,selenium binding|,0.9,31.4,0.6,1.3,0.000146,0.004913738,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000157538,DSCR3,Down syndrome critical region gene 3,nucleus|,biological_process|,molecular_function|,1.0,31.3,0.6,1.4,0.00015,0.005031863,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000143753,DEGS1,"delta(4)-desaturase, sphingolipid 1",mitochondrion|endoplasmic reticulum|endoplasmic reticulum membrane|integral component of plasma membrane|membrane|,unsaturated fatty acid biosynthetic process|sphingolipid metabolic process|sphingolipid biosynthetic process|small molecule metabolic process|oxidation-reduction process|,"electron carrier activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen|",0.9,31.3,0.6,1.3,0.00015,0.005031863,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000100325,ASCC2,activating signal cointegrator 1 complex subunit 2,,"transcription, DNA-templated|regulation of transcription, DNA-templated|",,1.3,31.2,0.9,2.0,0.000158,0.005240291,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000180098,TRNAU1AP,tRNA selenocysteine 1 associated protein 1,nucleus|cytoplasm|,selenocysteine incorporation|,nucleotide binding|poly(A) RNA binding|,1.0,30.9,0.7,1.6,0.000172,0.005649856,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000123595,RAB9A,"RAB9A, member RAS oncogene family",Golgi membrane|lysosome|late endosome|endoplasmic reticulum membrane|plasma membrane|phagocytic vesicle membrane|phagocytic vesicle|extracellular vesicular exosome|,GTP catabolic process|GTP catabolic process|small GTPase mediated signal transduction|protein transport|positive regulation of exocytosis|,GTPase activity|protein binding|GTP binding|GDP binding|,1.2,30.7,0.8,1.9,0.000184,0.005967646,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000131374,TBC1D5,"TBC1 domain family, member 5",retromer complex|,positive regulation of Rab GTPase activity|,Rab GTPase activator activity|protein binding|,1.3,30.6,0.8,2.1,0.000194,0.006262296,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000175348,TMEM9B,"TMEM9 domain family, member B",integral component of membrane|,signal transduction|positive regulation of I-kappaB kinase/NF-kappaB signaling|,signal transducer activity|,1.3,29.9,1.0,2.1,0.000236,0.007318852,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000250151,ARPC4-TTLL3,ARPC4-TTLL3 readthrough,,,,1.4,29.3,0.9,2.1,0.000284,0.008474593,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000101850,GPR143,G protein-coupled receptor 143,cytoplasm|lysosomal membrane|Golgi apparatus|plasma membrane|membrane|integral component of membrane|apical plasma membrane|melanosome membrane|melanosome|,eye pigment biosynthetic process|signal transduction|G-protein coupled receptor signaling pathway|G-protein coupled receptor signaling pathway|neuropeptide signaling pathway|visual perception|melanosome localization|melanosome localization|melanosome transport|melanosome organization|calcium-mediated signaling using intracellular calcium source|phosphatidylinositol-mediated signaling|regulation of calcium-mediated signaling|,G-protein coupled receptor activity|protein binding|dopamine binding|L-DOPA receptor activity|L-DOPA binding|tyrosine binding|,1.0,29.2,0.7,1.7,0.000292,0.008625554,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000155304,HSPA13,"heat shock protein 70kDa family, member 13",endoplasmic reticulum|intracellular membrane-bounded organelle|extracellular vesicular exosome|,,ATP binding|,1.0,29.2,0.6,2.1,0.000292,0.008625554,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000113597,TRAPPC13,trafficking protein particle complex 13,,,protein binding|,0.9,28.5,0.6,1.6,0.000344,0.009687682,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000086062,B4GALT1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",Golgi trans cisterna|Golgi membrane|extracellular space|Golgi apparatus|plasma membrane|external side of plasma membrane|membrane|integral component of membrane|basolateral plasma membrane|desmosome|glycocalyx|brush border membrane|Golgi cisterna membrane|extracellular vesicular exosome|,epithelial cell development|acute inflammatory response|carbohydrate metabolic process|lactose biosynthetic process|galactose metabolic process|protein N-linked glycosylation|cell adhesion|Notch signaling pathway|single fertilization|binding of sperm to zona pellucida|penetration of zona pellucida|negative regulation of cell proliferation|oligosaccharide biosynthetic process|oligosaccharide biosynthetic process|keratan sulfate biosynthetic process|protein N-linked glycosylation via asparagine|extracellular matrix organization|glycosaminoglycan metabolic process|mammary gland development|multicellular organism reproduction|keratan sulfate metabolic process|post-translational protein modification|cellular protein metabolic process|small molecule metabolic process|development of secondary sexual characteristics|branching morphogenesis of an epithelial tube|leukocyte migration|regulation of cellular component movement|regulation of acrosome reaction|positive regulation of epithelial cell proliferation involved in wound healing|angiogenesis involved in wound healing|positive regulation of apoptotic process involved in mammary gland involution|,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity|N-acetyllactosamine synthase activity|lactose synthase activity|cytoskeletal protein binding|galactosyltransferase activity|manganese ion binding|UDP-galactosyltransferase activity|protein homodimerization activity|alpha-tubulin binding|beta-tubulin binding|",1.5,28.4,0.7,3.9,0.00035,0.009816257,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000104164,BLOC1S6,"biogenesis of lysosomal organelles complex-1, subunit 6, pallidin",cytoplasm|endosome|cytosol|extrinsic component of membrane|transport vesicle|BLOC-1 complex|SNARE complex|,post-Golgi vesicle-mediated transport|blood coagulation|anterograde axon cargo transport|synaptic vesicle docking involved in exocytosis|melanocyte differentiation|neuron projection development|melanosome transport|melanosome organization|positive regulation of natural killer cell activation|secretion of lysosomal enzymes|endosome to melanosome transport|anterograde synaptic vesicle transport|positive regulation of pigment cell differentiation|membrane organization|,protein binding|syntaxin binding|identical protein binding|protein homodimerization activity|protein homodimerization activity|actin filament binding|,1.0,28.2,0.7,3.3,0.000376,0.010445575,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
