source,target,sign,via,citation,citation_source
TNFRSF1A,SMPD2,+,TNFRSF1A:NSMAF:GNB2L1_kerat,relayed via TNFRSF1A:NSMAF:GNB2L1_kerat (backbone-derived; see topology layer),relayed_backbone
TP53,BBC3,+,,PMID:18761658,inherited_backbone
TP53,DUSP1,+,,PMID:12890671,inherited_backbone
TP53,GADD45A,+,,PMID:19098008,inherited_backbone
TP53,HIF1A,+,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
TP53,MC1R,+,alpha_MSH_kerat,relayed via alpha_MSH_kerat (backbone-derived; see topology layer),relayed_backbone
TP53,MC1R,+,ACTH_kerat,relayed via ACTH_kerat (backbone-derived; see topology layer),relayed_backbone
TP53,NFKB1,-,alpha_MSH_kerat,relayed via alpha_MSH_kerat (backbone-derived; see topology layer),relayed_backbone
TP53,NFKB1,-,ACTH_kerat,relayed via ACTH_kerat (backbone-derived; see topology layer),relayed_backbone
TP53,TYR,-,,PMID:19098008,inherited_backbone
TP53,TYRP1,+,,PMID:18431400,inherited_backbone
TPSAB1,F2RL1,+,,PMID:10439226,inherited_backbone
Trypsin,F2RL1,+,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
USF1,MC1R,+,,PMID:15358786,inherited_backbone
USF1,MC1R,+,alpha_MSH_melan,PMID:15358786,inherited_backbone
USF1,MC1R,+,ACTH_melan,PMID:15358786,inherited_backbone
WNT5A,FZD3,+,,PMID:17804197; PMID:19910923,inherited_backbone
