source,target,sign,edge_layer,verb,interaction_norm,reference,source_comp,target_comp,compartment_relation,source_node_raw,target_node_raw,container_type,member_type,member_source
MAP2K3,MAPK14,+,backbone,activates,activates,,keratinocyte,keratinocyte,autocrine,MAP2K3_kerat,MAPK14_kerat,,,
MAP2K3,MAPK14,+,backbone,activates,activates,[67],melanocyte,melanocyte,autocrine,MAP2K3_melan,MAPK14_melan,,,
MAP2K4,MAPK8,+,backbone,activates,activates,[67],keratinocyte,keratinocyte,autocrine,MAP2K4_kerat,MAPK8_kerat,,,
MAP2K4,MAPK8,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,MAP2K4_melan,MAPK8_melan,,,
MAP2K6,MAPK14,+,backbone,activates,activates,[67],keratinocyte,keratinocyte,autocrine,MAP2K6_kerat,MAPK14_kerat,,,
MAP2K6,MAPK14,+,backbone,activates,activates,[67],melanocyte,melanocyte,autocrine,MAP2K6_melan,MAPK14_melan,,,
MAP2K7,MAPK8,+,backbone,activates,activates,[67],keratinocyte,keratinocyte,autocrine,MAP2K7_kerat,MAPK8_kerat,,,
MAP2K7,MAPK8,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,MAP2K7_melan,MAPK8_melan,,,
MAP3K1,MAP3K14,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,MAP3K1_kerat,MAP3K14_kerat,,,
MAP3K1,MAP2K4,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,MAP3K1_melan,MAP2K4_melan,,,
MAP3K1,MAP2K7,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,MAP3K1_melan,MAP2K7_melan,,,
MAP3K14,CHUK,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,MAP3K14_kerat,IKBKA_kerat,,,
MAP3K5,MAP2K3,+,backbone,activates,activates,[81],keratinocyte,keratinocyte,autocrine,MAP3K5_kerat,MAP2K3_kerat,,,
MAP3K5,MAP2K4,+,backbone,activates,activates,[81],keratinocyte,keratinocyte,autocrine,MAP3K5_kerat,MAP2K4_kerat,,,
MAP3K5,MAP2K6,+,backbone,activates,activates,[81],keratinocyte,keratinocyte,autocrine,MAP3K5_kerat,MAP2K6_kerat,,,
MAP3K5,MAP2K7,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,MAP3K5_kerat,MAP2K7_kerat,,,
MAP3K5,MAP3K1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,MAP3K5_kerat,MAP3K1_kerat,,,
MAP3K7:TAB1_kerat,CHUK,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,MAP3K7:TAB1_kerat,IKBKA_kerat,,,
MAP3K7:TAB1_kerat,MAP2K3,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,MAP3K7:TAB1_kerat,MAP2K3_kerat,,,
MAP3K7:TAB1_kerat,MAP2K4,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,MAP3K7:TAB1_kerat,MAP2K4_kerat,,,
MAP3K7:TAB1_kerat,MAP2K6,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,MAP3K7:TAB1_kerat,MAP2K6_kerat,,,
MAP4K2,MAP3K1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,MAP4K2_kerat,MAP3K1_kerat,,,
MAPK1,ATF2,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,MAPK1_kerat,ATF2_kerat,,,
MAPK1,ELK1,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,MAPK1_kerat,ELK1_kerat,,,
MAPK1,FOS,+,backbone,activates,activates,[82],keratinocyte,keratinocyte,autocrine,MAPK1_kerat,FOS_kerat,,,
MAPK1,JUN,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,MAPK1_kerat,JUN_kerat,,,
MAPK1,PLA2,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,MAPK1_kerat,PLA2_kerat,,,
MAPK1,RPS6KA1,+,backbone,activates,activates,[83],keratinocyte,keratinocyte,autocrine,MAPK1_kerat,RPS6KA1_kerat,,,
MAPK1,MITF,-,backbone,phosphorylates/activates/degrades,phosphorylates/activates/degrades,[84],melanocyte,melanocyte,autocrine,MAPK1_melan,MITF_melan,,,
MAPK1,RPS6KA1,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,MAPK1_melan,RPS6KA1_melan,,,
MAPK1,TP53,+,backbone,activates,activates,[85],melanocyte,melanocyte,autocrine,MAPK1_melan,TP53_melan,,,
MAPK14,ATF2,+,backbone,activates,activates,[86],keratinocyte,keratinocyte,autocrine,MAPK14_kerat,ATF2_kerat,,,
MAPK14,BCL2L1,+,backbone,increases expression [mRNA stability],increases expression [mrna stability],[87],keratinocyte,keratinocyte,autocrine,MAPK14_kerat,BCL2L1_kerat,,,
MAPK14,CASP3,+,backbone,activates,activates,[88],keratinocyte,keratinocyte,autocrine,MAPK14_kerat,CASP3_kerat,,,
MAPK14,FOS,+,backbone,activates,activates,[82],keratinocyte,keratinocyte,autocrine,MAPK14_kerat,FOS_kerat,,,
MAPK14,HIF1A,+,backbone,activates,activates,[89],keratinocyte,keratinocyte,autocrine,MAPK14_kerat,HIF1A_kerat,,,
MAPK14,BAX,+,backbone,activates,activates,[82],melanocyte,melanocyte,autocrine,MAPK14_melan,BAX_melan,,,
MAPK14,CREB1,+,backbone,activates,activates,[90],melanocyte,melanocyte,autocrine,MAPK14_melan,CREB1_melan,,,
MAPK14,ELK1,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,MAPK14_melan,ELK1_melan,,,
MAPK14,FOS,+,backbone,increases expression,increases expression,[91],melanocyte,melanocyte,autocrine,MAPK14_melan,FOS_melan,,,
MAPK14,USF1,+,backbone,activates,activates,[92],melanocyte,melanocyte,autocrine,MAPK14_melan,USF1_melan,,,
MAPK3,ATF2,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,MAPK3_kerat,ATF2_kerat,,,
MAPK3,ELK1,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,MAPK3_kerat,ELK1_kerat,,,
MAPK3,FOS,+,backbone,activates,activates,[82],keratinocyte,keratinocyte,autocrine,MAPK3_kerat,FOS_kerat,,,
MAPK3,JUN,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,MAPK3_kerat,JUN_kerat,,,
MAPK3,PLA2,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,MAPK3_kerat,PLA2_kerat,,,
MAPK3,RPS6KA1,+,backbone,activates,activates,[83],keratinocyte,keratinocyte,autocrine,MAPK3_kerat,RPS6KA1_kerat,,,
MAPK3,MITF,-,backbone,phosphorylates/activates/degrades,phosphorylates/activates/degrades,[84],melanocyte,melanocyte,autocrine,MAPK3_melan,MITF_melan,,,
MAPK3,RPS6KA1,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,MAPK3_melan,RPS6KA1_melan,,,
MAPK3,TP53,+,backbone,activates,activates,[85],melanocyte,melanocyte,autocrine,MAPK3_melan,TP53_melan,,,
MAPK8,ATF2,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,MAPK8_kerat,ATF2_kerat,,,
MAPK8,JUN,+,backbone,activates,activates,[91],keratinocyte,keratinocyte,autocrine,MAPK8_kerat,JUN_kerat,,,
MAPK8,MCL1:BAK1_kerat,-,backbone,induces complex dissociation,induces complex dissociation,[93],keratinocyte,keratinocyte,autocrine,MAPK8_kerat,MCL1:BAK1_kerat,,,
MAPK8,MCL1:BAX_kerat,-,backbone,induces complex dissociation,induces complex dissociation,[93],keratinocyte,keratinocyte,autocrine,MAPK8_kerat,MCL1:BAX_kerat,,,
MAPK8,JUN,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,MAPK8_melan,JUN_melan,,,
MC1R,NFKB1,-,backbone,inhibits,inhibits,[23],keratinocyte,keratinocyte,autocrine,MC1R_kerat,NFKB1_kerat,,,
MC1R,ADCY4,+,backbone,activates,activates,[14] ,melanocyte,melanocyte,autocrine,MC1R_melan,ADCY4_melan,,,
MCL1:BAK1_kerat,BAK1,-,backbone,dissociates to,dissociates to,[94],keratinocyte,keratinocyte,autocrine,MCL1:BAK1_kerat,BAK1_kerat,,,
MCL1:BAK1_kerat,MCL1,-,backbone,dissociates to,dissociates to,[94],keratinocyte,keratinocyte,autocrine,MCL1:BAK1_kerat,MCL1_kerat,,,
MCL1:BAX_kerat,BAX,-,backbone,dissociates to,dissociates to,[94],keratinocyte,keratinocyte,autocrine,MCL1:BAX_kerat,BAX_kerat,,,
MCL1:BAX_kerat,MCL1,-,backbone,dissociates to,dissociates to,[94],keratinocyte,keratinocyte,autocrine,MCL1:BAX_kerat,MCL1_kerat,,,
MET,GAB1,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,MET_melan,GAB1_melan,,,
MET,SOS1:GRB2:SHC1_melan,+,backbone,induces complex formation,induces complex formation,NetProTM,melanocyte,melanocyte,autocrine,MET_melan,SOS1:GRB2:SHC1_melan,,,
MITF:EP300_melan,MITF,+,backbone,activates,activates,[95],melanocyte,melanocyte,autocrine,MITF:EP300_melan,MITF_melan,,,
MITF,BCL2,+,backbone,increases expression,increases expression,[96],melanocyte,melanocyte,autocrine,MITF_melan,BCL2_melan,,,
MITF,CDK4,+,backbone,increases expression,increases expression,[97],melanocyte,melanocyte,autocrine,MITF_melan,CDK4_melan,,,
MITF,DCT,+,backbone,increases expression,increases expression,[98],melanocyte,melanocyte,autocrine,MITF_melan,DCT_melan,,,
MITF,EDNRB,+,backbone,increases expression,increases expression,NetProTM,melanocyte,melanocyte,autocrine,MITF_melan,EDNRB_melan,,,
MITF,MC1R,+,backbone,increases expression,increases expression,[99],melanocyte,melanocyte,autocrine,MITF_melan,MC1R_melan,,,
MITF,MET,+,backbone,increases expression,increases expression,NetProTM,melanocyte,melanocyte,autocrine,MITF_melan,MET_melan,,,
MITF,MITF:EP300_melan,+,backbone,forms complex,forms complex,[95],melanocyte,melanocyte,autocrine,MITF_melan,MITF:EP300_melan,,,
MITF,MITF,+,backbone,increases expression,increases expression,NetProTM,melanocyte,melanocyte,autocrine,MITF_melan,MITF_melan,,,
MITF,MLANA,+,backbone,increases expression,increases expression,[100],melanocyte,none,scaffold,MITF_melan,MLANA,,,
MITF,OCA2,+,backbone,increases expression,increases expression,[101],melanocyte,none,scaffold,MITF_melan,OCA2,,,
MITF,PMEL,+,backbone,increases expression,increases expression,[84],melanocyte,melanocyte,autocrine,MITF_melan,PMEL_melan,,,
MITF,PRKCB,+,backbone,increases expression,increases expression,NetProTM,melanocyte,melanocyte,autocrine,MITF_melan,PRKCB_melan,,,
MITF,TYR,+,backbone,increases expression,increases expression,[98],melanocyte,melanocyte,autocrine,MITF_melan,TYR_melan,,,
MITF,TYRP1,+,backbone,increases expression,increases expression,[98],melanocyte,melanocyte,autocrine,MITF_melan,TYRP1_melan,,,
MLANA,Melanosome_biogenesis,+,backbone,induces,induces,[102],none,none,scaffold,MLANA,Melanosome_biogenesis,,,
MMP1,Skin_aging,0,backbone,regulates,regulates,[103],keratinocyte,none,scaffold,MMP1_kerat,Skin_aging,,,
MMP1,Skin_aging,0,backbone,regulates,regulates,[103],melanocyte,none,scaffold,MMP1_melan,Skin_aging,,,
MMPs,Skin_aging,0,backbone,regulates,regulates,[103],keratinocyte,none,scaffold,MMPs_kerat,Skin_aging,,,
MSN,CDH2,+,backbone,increases expression,increases expression,[12],melanocyte,melanocyte,autocrine,MSN_melan,CDH2_melan,,,
MSN,Melanocyte_migration,+,backbone,induces,induces,[12],melanocyte,none,scaffold,MSN_melan,Melanocyte_migration,,,
NFATC1,PTGS2,+,backbone,increases expression,increases expression,[27],keratinocyte,keratinocyte,autocrine,NFAT2_kerat,PTGS2_kerat,,,
NFKB1,BCL2,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,NFKB1_kerat,BCL2_kerat,,,
NFKB1,CDKN1A,+,backbone,increases expression,increases expression,[35],keratinocyte,keratinocyte,autocrine,NFKB1_kerat,CDKN1A_kerat,,,
NFKB1,CSF2,+,backbone,increases expression,increases expression,[104],keratinocyte,keratinocyte,autocrine,NFKB1_kerat,CSF2_kerat,,,
NFKB1,EDN1,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,NFKB1_kerat,EDN1_kerat,,,
NFKB1,F2RL1,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,NFKB1_kerat,F2RL1_kerat,,,
NFKB1,FASLG,+,backbone,increases expression,increases expression,[105],keratinocyte,keratinocyte,autocrine,NFKB1_kerat,FASLG_kerat,,,
NFKB1,ICAM1,+,backbone,increases expression,increases expression,[106],keratinocyte,keratinocyte,autocrine,NFKB1_kerat,ICAM1_kerat,,,
NFKB1,IL10,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,NFKB1_kerat,IL10_kerat,,,
NFKB1,IL12A,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,NFKB1_kerat,IL12A_kerat,,,
NFKB1,IL1A,+,backbone,increases expression,increases expression,[107],keratinocyte,keratinocyte,autocrine,NFKB1_kerat,IL1A_kerat,,,
NFKB1,IL6,+,backbone,increases expression,increases expression,[108],keratinocyte,keratinocyte,autocrine,NFKB1_kerat,IL6_kerat,,,
NFKB1,CXCL8,+,backbone,increases expression,increases expression,[109],keratinocyte,keratinocyte,autocrine,NFKB1_kerat,IL8_kerat,,,
NFKB1,KITLG,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,NFKB1_kerat,KITLG_kerat,,,
NFKB1,MMPs,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,NFKB1_kerat,MMPs_kerat,,,
NFKB1,NOS2,+,backbone,increases expression,increases expression,[110],keratinocyte,keratinocyte,autocrine,NFKB1_kerat,NOS2_kerat,,,
NFKB1,PRKCD,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,NFKB1_kerat,PRKCD_kerat,,,
NFKB1,PTGS2,+,backbone,increases expression,increases expression,[111],keratinocyte,keratinocyte,autocrine,NFKB1_kerat,PTGS2_kerat,,,
NFKB1,TNF,+,backbone,increases expression,increases expression,[112],keratinocyte,keratinocyte,autocrine,NFKB1_kerat,TNF_kerat,,,
NFKB1,TP53,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,NFKB1_kerat,TP53_kerat,,,
NGF,NTRK1,+,backbone,activates,activates,NetProTM,keratinocyte,melanocyte,paracrine,NGF_kerat,NTRK1_melan,,,
Nitric_oxide_kerat,GUCY1A2,+,backbone,activates,activates,[41],keratinocyte,melanocyte,paracrine,Nitric_oxide_kerat,GUCY1A2_melan,,,
NOS2,Nitric_oxide_kerat,+,backbone,increases level,increases level,NetProTM,keratinocyte,keratinocyte,autocrine,NOS2_kerat,Nitric_oxide_kerat,,,
NOX1,ROS_kerat,+,backbone,increases level,increases level,[113],keratinocyte,keratinocyte,autocrine,NOX1_kerat,ROS_kerat,,,
NTRK1,SOS1:GRB2:SHC1_melan,+,backbone,induces complex formation,induces complex formation,NetProTM,melanocyte,melanocyte,autocrine,NTRK1_melan,SOS1:GRB2:SHC1_melan,,,
OCA2,Melanosome_biogenesis,+,backbone,induces,induces,[114],none,none,scaffold,OCA2,Melanosome_biogenesis,,,
PAK1,MAP2K3,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,PAK1_kerat,MAP2K3_kerat,,,
PAK1,MAP2K6,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,PAK1_kerat,MAP2K6_kerat,,,
PAK1,MAP2K3,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,PAK1_melan,MAP2K3_melan,,,
PAK1,MAP2K6,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,PAK1_melan,MAP2K6_melan,,,
PAX3,MITF,+,backbone,increase expression,increase expression,"[115], [43]",melanocyte,melanocyte,autocrine,PAX3_melan,MITF_melan,,,
PDPK1,AKT1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,PDPK1_kerat,AKT1_kerat,,,
PDPK1,PRKCH,+,backbone,activates,activates,[116],keratinocyte,keratinocyte,autocrine,PDPK1_kerat,PRKCH_kerat,,,
PDPK1,AKT1,+,backbone,activates,activates,[117],melanocyte,melanocyte,autocrine,PDPK1_melan,AKT1_melan,,,
PGE2_kerat,PTGER1,+,backbone,activates,activates,NetProTM,keratinocyte,melanocyte,paracrine,PGE2_kerat,PTGER1_melan,,,
PGE2_kerat,PTGER2,+,backbone,activates,activates,[118],keratinocyte,keratinocyte,autocrine,PGE2_kerat,PTGER2_kerat,,,
PGE2_kerat,PTGER3,+,backbone,activates,activates,NetProTM,keratinocyte,melanocyte,paracrine,PGE2_kerat,PTGER3_melan,,,
PGE2_kerat,PTGER4,+,backbone,activates,activates,[118],keratinocyte,keratinocyte,autocrine,PGE2_kerat,PTGER4_kerat,,,
PGE2_melan,PTGER1,+,backbone,activates,activates,[119],melanocyte,melanocyte,autocrine,PGE2_melan,PTGER1_melan,,,
PGE2_melan,PTGER3,+,backbone,activates,activates,[119],melanocyte,melanocyte,autocrine,PGE2_melan,PTGER3_melan,,,
Phosphodiesterase,PRKACA,-,backbone,inhibits,inhibits,NetProTM,melanocyte,melanocyte,autocrine,Phosphodiesterase_melan,PRKACA_melan,,,
PIAS3,MITF,-,backbone,inhibits,inhibits,NetProTM,melanocyte,melanocyte,autocrine,PIAS3_melan,MITF_melan,,,
PIAS3,STAT3,-,backbone,inhibits,inhibits,NetProTM,melanocyte,melanocyte,autocrine,PIAS3_melan,STAT3_melan,,,
PIK3CA,PDPK1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,PIK3CA_kerat,PDPK1_kerat,,,
PIK3CA,PDPK1,+,backbone,activates,activates,[117],melanocyte,melanocyte,autocrine,PIK3CA_melan,PDPK1_melan,,,
PIK3CA,RAC1,+,backbone,activates,activates,[12],melanocyte,melanocyte,autocrine,PIK3CA_melan,RAC1_melan,,,
PKC,NFKB1,+,backbone,activates,activates,[120],keratinocyte,keratinocyte,autocrine,PKC_kerat,NFKB1_kerat,,,
PLA2,Arachidonic_Acid_kerat,+,backbone,increases level,increases level,[121],keratinocyte,keratinocyte,autocrine,PLA2_kerat,Arachidonic_Acid_kerat,,,
PLC,DAG_kerat,+,backbone,Increases level,increases level,NetProTM,keratinocyte,keratinocyte,autocrine,PLC_kerat,DAG_kerat,,,
PLC,IP3_kerat,+,backbone,increases level,increases level,[26],keratinocyte,keratinocyte,autocrine,PLC_kerat,IP3_kerat,,,
PLC,DAG_melan,+,backbone,increases level,increases level,NetProTM,melanocyte,melanocyte,autocrine,PLC_melan,DAG_melan,,,
PLC,IP3_melan,+,backbone,increases level,increases level,NetProTM,melanocyte,melanocyte,autocrine,PLC_melan,IP3_melan,,,
PMAIP1,BAK1,+,backbone,activates,activates,[122],keratinocyte,keratinocyte,autocrine,PMAIP1_kerat,BAK1_kerat,,,
PPP3CA,NFATC1,+,backbone,activates,activates,[27],keratinocyte,keratinocyte,autocrine,PPP3CA_kerat,NFAT2_kerat,,,
PRKACA,CREB1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,PRKACA_kerat,CREB1_kerat,,,
PRKACA,CREB1,+,backbone,activates,activates,[123],melanocyte,melanocyte,autocrine,PRKACA_melan,CREB1_melan,,,
PRKCB,GAB1,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,PRKCB_melan,GAB1_melan,,,
PRKCB,TYR,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,PRKCB_melan,TYR_melan,,,
PRKCD,CASP3,+,backbone,activates,activates,[20],keratinocyte,keratinocyte,autocrine,PRKCD_kerat,CASP3_kerat,,,
PRKCD,CASP8,+,backbone,activates,activates,[20],keratinocyte,keratinocyte,autocrine,PRKCD_kerat,CASP8_kerat,,,
PRKCD,CASP9,+,backbone,activates,activates,[20],keratinocyte,keratinocyte,autocrine,PRKCD_kerat,CASP9_kerat,,,
PRKCD,MCL1:BAK1_kerat,-,backbone,induces complex dissociation,induces complex dissociation,[94],keratinocyte,keratinocyte,autocrine,PRKCD_kerat,MCL1:BAK1_kerat,,,
PRKCD,MCL1:BAX_kerat,-,backbone,induces complex dissociation,induces complex dissociation,[94],keratinocyte,keratinocyte,autocrine,PRKCD_kerat,MCL1:BAX_kerat,,,
PRKCD,NFKB1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,PRKCD_kerat,NFKB1_kerat,,,
PRKCH,CASP3,-,backbone,inhibits,inhibits,[124],keratinocyte,keratinocyte,autocrine,PRKCH_kerat,CASP3_kerat,,,
PRKCH,CDK2,-,backbone,inhibits,inhibits,[125],keratinocyte,keratinocyte,autocrine,PRKCH_kerat,CDK2_kerat,,,
PRKCH,MAPK14,+,backbone,activates,activates,[124],keratinocyte,keratinocyte,autocrine,PRKCH_kerat,MAPK14_kerat,,,
PRKCZ,NFKB1,+,backbone,activates,activates,[126],keratinocyte,keratinocyte,autocrine,PRKCZ_kerat,NFKB1_kerat,,,
PRKCZ,Dendrite_formation_melan,+,backbone,induces,induces,[127],melanocyte,melanocyte,autocrine,PRKCZ_melan,Dendrite_formation_melan,,,
PRKG1,CREB1,+,backbone,activates,activates,[128],melanocyte,melanocyte,autocrine,PRKG1_melan,CREB1_melan,,,
PTGER1,PLC,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,PTGER1_melan,PLC_melan,,,
PTGER2,ADCY4,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,PTGER2_kerat,ADCY4_kerat,,,
PTGER3,PLC,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,PTGER3_melan,PLC_melan,,,
PTGER4,ADCY4,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,PTGER4_kerat,ADCY4_kerat,,,
PTGS2,PGE2_kerat,+,backbone,increases level,increases level,[16],keratinocyte,keratinocyte,autocrine,PTGS2_kerat,PGE2_kerat,,,
PTGS2,PGE2_melan,+,backbone,Increases level,increases level,[17],melanocyte,melanocyte,autocrine,PTGS2_melan,PGE2_melan,,,
RAC1:PARD6A:CDC42_melan,PRKCZ,+,backbone,activates,activates,[129],melanocyte,melanocyte,autocrine,RAC1:PARD6A:CDC42_melan,PRKCZ_melan,,,
RAC1,MAP3K1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,RAC1_kerat,MAP3K1_kerat,,,
RAC1,NOX1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,RAC1_kerat,NOX1_kerat,,,
RAC1,MAP2K3,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,RAC1_melan,MAP2K3_melan,,,
RAC1,MAP2K6,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,RAC1_melan,MAP2K6_melan,,,
RAC1,MAP3K1,+,backbone,activates,activates,[130],melanocyte,melanocyte,autocrine,RAC1_melan,MAP3K1_melan,,,
RAC1,PAK1,+,backbone,activates,activates,[131],melanocyte,melanocyte,autocrine,RAC1_melan,PAK1_melan,,,
RAC1,RAC1:PARD6A:CDC42_melan,+,backbone,forms complex,forms complex,[129],melanocyte,melanocyte,autocrine,RAC1_melan,RAC1:PARD6A:CDC42_melan,,,
RAF1,MAP2K1,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,RAF1_kerat,MAP2K1_kerat,,,
RAF1,MAP2K2,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,RAF1_kerat,MAP2K2_kerat,,,
RAF1,MAP2K1,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,RAF1_melan,MAP2K1_melan,,,
RAF1,MAP2K2,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,RAF1_melan,MAP2K2_melan,,,
RAP1A,RAC1,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,RAP1A_melan,RAC1_melan,,,
RDX,Melanocyte_migration,+,backbone,induces,induces,[12],none,none,scaffold,RDX,Melanocyte_migration,,,
RHOA,Melanosome_phagocytosis_kerat,+,backbone,Induces,induces,[57],keratinocyte,keratinocyte,autocrine,RHOA_kerat,Melanosome_phagocytosis_kerat,,,
ROS_kerat,EGFR,+,backbone,activates,activates,[132],keratinocyte,keratinocyte,autocrine,ROS_kerat,EGFR_kerat,,,
ROS_kerat,MAP3K5,+,backbone,activates,activates,[82],keratinocyte,keratinocyte,autocrine,ROS_kerat,MAP3K5_kerat,,,
ROS_kerat,SMPD2,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,ROS_kerat,SMPD2_kerat,,,
RPS6KA1,BAD,-,backbone,inhibits,inhibits,[133],keratinocyte,keratinocyte,autocrine,RPS6KA1_kerat,BAD_kerat,,,
RPS6KA1,CREB1,+,backbone,activates,activates,[133],keratinocyte,keratinocyte,autocrine,RPS6KA1_kerat,CREB1_kerat,,,
RPS6KA1,CREB1,+,backbone,activates,activates,[134],melanocyte,melanocyte,autocrine,RPS6KA1_melan,CREB1_melan,,,
RPS6KA1,MITF,-,backbone,phosphorylates/activates/degrades,phosphorylates/activates/degrades,[135],melanocyte,melanocyte,autocrine,RPS6KA1_melan,MITF_melan,,,
RYR1,Calcium_cyt_kerat,+,backbone,increases level,increases level,[26],keratinocyte,keratinocyte,autocrine,RYR1_kerat,Calcium_cyt_kerat,,,
RYR1,Calcium_cyt_melan,+,backbone,increases level,increases level,NetProTM,melanocyte,melanocyte,autocrine,RYR1_melan,Calcium_cyt_melan,,,
Singlet_oxygen_kerat,Ceramide_kerat,+,backbone,increases level,increases level,[136],keratinocyte,keratinocyte,autocrine,Singlet_oxygen_kerat,Ceramide_kerat,,,
SMPD1,Ceramide_kerat,+,backbone,Increases level,increases level,NetProTM,keratinocyte,keratinocyte,autocrine,SMPD1_kerat,Ceramide_kerat,,,
SMPD2,Ceramide_kerat,+,backbone,increases level,increases level,NetProTM,keratinocyte,keratinocyte,autocrine,SMPD2_kerat,Ceramide_kerat,,,
SOS1:GRB2:SHC1_kerat,HRAS,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,SOS1:GRB2:SHC1_kerat,HRAS_kerat,,,
SOS1:GRB2:SHC1_melan,HRAS,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,SOS1:GRB2:SHC1_melan,HRAS_melan,,,
SOX10,DCT,+,backbone,increases expression,increases expression,[137],melanocyte,melanocyte,autocrine,SOX10_melan,DCT_melan,,,
SOX10,MITF,+,backbone,increases expression,increases expression,[138],melanocyte,melanocyte,autocrine,SOX10_melan,MITF_melan,,,
SOX10,PAX3,+,backbone,binds,binds,[139],melanocyte,melanocyte,autocrine,SOX10_melan,PAX3_melan,,,
SOX10,TYR,+,backbone,increases expression,increases expression,[140],melanocyte,melanocyte,autocrine,SOX10_melan,TYR_melan,,,
SOX10,TYRP1,+,backbone,increases expression,increases expression,[141],melanocyte,melanocyte,autocrine,SOX10_melan,TYRP1_melan,,,
SPTLC1,Ceramide_kerat,+,backbone,increases level,increases level,[142],keratinocyte,keratinocyte,autocrine,SPTLC1_kerat,Ceramide_kerat,,,
SPTLC2,Ceramide_kerat,+,backbone,increases level,increases level,[142],keratinocyte,keratinocyte,autocrine,SPTLC2_kerat,Ceramide_kerat,,,
