gene,full_name
SMARCAL1,SNF2 related chromatin remodeling annealing helicase 1
SMARCB1,SWI/SNF related BAF chromatin remodeling complex subunit B1
SMARCC1,SWI/SNF related BAF chromatin remodeling complex subunit C1
SMARCC2,SWI/SNF related BAF chromatin remodeling complex subunit C2
SMARCD1,SWI/SNF related BAF chromatin remodeling complex subunit D1
SMARCD2,SWI/SNF related BAF chromatin remodeling complex subunit D2
SMARCD3,SWI/SNF related BAF chromatin remodeling complex subunit D3
SMARCE1,SWI/SNF related BAF chromatin remodeling complex subunit E1
SMO,Spermine oxidase
SMOC2,SPARC related modular calcium binding 2
SMPD1,Sphingomyelin phosphodiesterase 1
SMPD2,Sphingomyelin phosphodiesterase 2
SNAI2,Snail family transcriptional repressor 2
SNAPIN,SNAP associated protein
SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1
SOX10,SRY-box transcription factor 10
SOX2,SRY-box transcription factor 2
SOX9,SRY-box transcription factor 9
SPATA48,Sperm microtubule inner protein 7
SPRED1,Sprouty related EVH1 domain containing 1
SPTLC1,Serine palmitoyltransferase long chain base subunit 1
SPTLC2,Serine palmitoyltransferase long chain base subunit 2
SRC,"SRC proto-oncogene, non-receptor tyrosine kinase"
SS18,SS18 subunit of BAF chromatin remodeling complex
SS18L1,SS18L1 subunit of BAF chromatin remodeling complex
ST3GAL5,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"
STAR,Guanylate cyclase 2C
STAT1,Signal transducer and activator of transcription 1
STAT3,Signal transducer and activator of transcription 3
STAT4,Signal transducer and activator of transcription 4
STK11,Serine/threonine kinase 11
STRA13,Basic helix-loop-helix family member e40
STRADA,STE20 related adaptor alpha
STT3B,STT3 oligosaccharyltransferase complex catalytic subunit B
SUMO1,Small ubiquitin like modifier 1
SYTL2,Synaptotagmin like 2
TAB1,TGF-beta activated kinase 1 (MAP3K7) binding protein 1
TANK,TRAF family member associated NFKB activator
TBC1D7,TBC1 domain family member 7
TBK1,TANK binding kinase 1
TBX2,T-box transcription factor 2
TBX3,T-box transcription factor 3
TBX5,T-box transcription factor 5
TCEB1,Elongin C
TCEB2,Elongin B
TCF7,Transcription factor 7
TCF7L1,Transcription factor 7 like 1
TCF7L2,Transcription factor 7 like 2
TEF,"TEF transcription factor, PAR bZIP family member"
TEN1,Teneurin transmembrane protein 1
TERF1,Telomeric repeat binding factor 1
TERF2,Telomeric repeat binding factor 2
TERF2IP,TERF2 interacting protein
TERT,Telomerase reverse transcriptase
TFAP2A,Transcription factor AP-2 alpha
TFE3,Transcription factor binding to IGHM enhancer 3
TFEB,Transcription factor EB
TFEC,Transcription factor EC
TG,Thyroglobulin
TICAM1,TIR domain containing adaptor molecule 1
TINF2,TERF1 interacting nuclear factor 2
TLR3,Toll like receptor 3
TLR4,Toll like receptor 4
TNF,Tumor necrosis factor
TNFRSF11A,TNF receptor superfamily member 11a
TNFRSF11B,TNF receptor superfamily member 11b
TNFRSF1A,TNF receptor superfamily member 1A
TNFSF11,TNF superfamily member 11
TNRC6A,Trinucleotide repeat containing adaptor 6A
TNRC6B,Trinucleotide repeat containing adaptor 6B
TNRC6C,Trinucleotide repeat containing adaptor 6C
TOP3A,DNA topoisomerase III alpha
TP53,Tumor protein p53
TP53BP1,Tumor protein p53 binding protein 1
TP63,Tumor protein p63
TPCN2,Two pore segment channel 2
TPSAB1,Tryptase alpha/beta 1
TRADD,TNFRSF1A associated via death domain
TRAF2,TRAF family member associated NFKB activator
TRAF6,TNF receptor associated factor 6
TRPM1,Transient receptor potential cation channel subfamily M member 1
TSC1,TSC complex subunit 1
TSC2,TSC complex subunit 2
TYR,Tyrosinase
TYRP1,Tyrosinase related protein 1
UBASH3A,Ubiquitin associated and SH3 domain containing A
UBE2D1,Ubiquitin conjugating enzyme E2 D1
UBE2D3,Ubiquitin conjugating enzyme E2 D3
UBE2E2,Ubiquitin conjugating enzyme E2 E2
UBE2I,Ubiquitin conjugating enzyme E2 I
UBE2M,Ubiquitin conjugating enzyme E2 M
USF1,Upstream transcription factor 1
USH1C,USH1 protein network component harmonin
USH1G,USH1 protein network component sans
USP7,Ubiquitin specific peptidase 7
USP9X,Ubiquitin specific peptidase 9 X-linked
UVSSA,UV stimulated scaffold protein A
VAC14,VAC14 component of PIKFYVE complex
VEGFA,Vascular endothelial growth factor A
VHL,Von Hippel-Lindau tumor suppressor
WDHD1,WD repeat and HMG-box DNA binding protein 1
WDR36,WD repeat domain 36
WIF1,Wnt inhibitory factor 1
WNT1,Wnt family member 1
WNT10A,Wnt family member 10A
WNT10B,Wnt family member 10B
WNT11,Wnt family member 11
WNT16,Wnt family member 16
WNT2,Wnt family member 2
WNT2B,Wnt family member 2B
WNT3,Wnt family member 3
WNT3A,Wnt family member 3A
WNT4,Wnt family member 4
WNT5A,Wnt family member 5A
WNT5B,Wnt family member 5B
WNT6,Wnt family member 6
WNT7A,Wnt family member 7A
WNT7B,Wnt family member 7B
WNT8A,Wnt family member 8A
WNT8B,Wnt family member 8B
WNT9A,Wnt family member 9A
WNT9B,Wnt family member 9B
WRAP53,WD repeat containing antisense to TP53
WRN,WRN RecQ like helicase
XIAP,X-linked inhibitor of apoptosis
XPA,"XPA, DNA damage recognition and repair factor"
XPC,"XPC complex subunit, DNA damage recognition and repair factor"
XPO1,Exportin 1
XRCC6,X-ray repair cross complementing 6
YWHAB,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
YWHAE,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
YWHAG,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
YWHAH,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
YWHAZ,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
ZC3H7B,Zinc finger CCCH-type containing 7B
ZEB1,Zinc finger E-box binding homeobox 1
ZIC1,Zic family zinc finger 1
ZMIZ1,Zinc finger MIZ-type containing 1
ZMPSTE24,Zinc metallopeptidase STE24
ZNF354A,Zinc finger protein 354A
