source,target,sign,edge_class,via,citation,citation_source
RPS6KA1,BAD,-,mechanistic_projection,,PMID:15107468,inherited_backbone
RPS6KA1,CREB1,+,mechanistic_projection,,PMID:15107468; PMID:7540859,inherited_backbone
RPS6KA1,MITF,-,mechanistic_projection,,PMID:10673502,inherited_backbone
RYR1,PKC,+,mechanistic_projection,Calcium_cyt_kerat,relayed via Calcium_cyt_kerat (backbone-derived; see topology layer),relayed_backbone
RYR1,PPP3CA,+,mechanistic_projection,Calcium_cyt_kerat,relayed via Calcium_cyt_kerat (backbone-derived; see topology layer),relayed_backbone
RYR1,PRKCB,+,mechanistic_projection,Calcium_cyt_melan,relayed via Calcium_cyt_melan (backbone-derived; see topology layer),relayed_backbone
RYR1,Phosphodiesterase,+,mechanistic_projection,Calcium_cyt_melan>Calcium_cyt:Calmodulin_melan,relayed via Calcium_cyt_melan>Calcium_cyt:Calmodulin_melan (backbone-derived; see topology layer),relayed_backbone
SMPD1,PLA2,+,mechanistic_projection,Ceramide_kerat,relayed via Ceramide_kerat (backbone-derived; see topology layer),relayed_backbone
SMPD1,PRKCZ,+,mechanistic_projection,Ceramide_kerat,relayed via Ceramide_kerat (backbone-derived; see topology layer),relayed_backbone
SMPD1,TFAP2A,+,mechanistic_projection,Ceramide_kerat,relayed via Ceramide_kerat (backbone-derived; see topology layer),relayed_backbone
SMPD2,PLA2,+,mechanistic_projection,Ceramide_kerat,relayed via Ceramide_kerat (backbone-derived; see topology layer),relayed_backbone
SMPD2,PRKCZ,+,mechanistic_projection,Ceramide_kerat,relayed via Ceramide_kerat (backbone-derived; see topology layer),relayed_backbone
SMPD2,TFAP2A,+,mechanistic_projection,Ceramide_kerat,relayed via Ceramide_kerat (backbone-derived; see topology layer),relayed_backbone
SOX10,DCT,+,mechanistic_projection,,PMID:14706856,inherited_backbone
SOX10,MITF,+,mechanistic_projection,,PMID:12944398,inherited_backbone
SOX10,PAX3,+,mechanistic_projection,,PMID:10942418,inherited_backbone
SOX10,TYR,+,mechanistic_projection,,PMID:17516925,inherited_backbone
SOX10,TYRP1,+,mechanistic_projection,,PMID:16934245,inherited_backbone
SPTLC1,PLA2,+,mechanistic_projection,Ceramide_kerat,relayed via Ceramide_kerat (backbone-derived; see topology layer),relayed_backbone
SPTLC1,PRKCZ,+,mechanistic_projection,Ceramide_kerat,relayed via Ceramide_kerat (backbone-derived; see topology layer),relayed_backbone
SPTLC1,TFAP2A,+,mechanistic_projection,Ceramide_kerat,relayed via Ceramide_kerat (backbone-derived; see topology layer),relayed_backbone
SPTLC2,PLA2,+,mechanistic_projection,Ceramide_kerat,relayed via Ceramide_kerat (backbone-derived; see topology layer),relayed_backbone
SPTLC2,PRKCZ,+,mechanistic_projection,Ceramide_kerat,relayed via Ceramide_kerat (backbone-derived; see topology layer),relayed_backbone
SPTLC2,TFAP2A,+,mechanistic_projection,Ceramide_kerat,relayed via Ceramide_kerat (backbone-derived; see topology layer),relayed_backbone
SRC,EGFR,+,mechanistic_projection,,PMID:22532027,inherited_backbone
STAT1,MMP1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
STAT3,BCL2,+,mechanistic_projection,,PMID:23577258,inherited_backbone
STAT3,BCL2L1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
STAT3,CCND1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:23577258,inherited_backbone
STAT3,PTGS2,+,mechanistic_projection,,PMID:21440540,inherited_backbone
TFAP2A,ICAM1,+,mechanistic_projection,,PMID:12952965,inherited_backbone
TFAP2A,SPTLC1,+,mechanistic_projection,,PMID:16117797,inherited_backbone
TFAP2A,SPTLC2,+,mechanistic_projection,,PMID:16117797,inherited_backbone
TFAP2A,TNF,-,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
TNF,TNFRSF1A,+,mechanistic_projection,,PMID:11348449,inherited_backbone
TNFRSF1A,CASP8,+,mechanistic_projection,TNFRSF1A:TRADD:FADD_kerat,relayed via TNFRSF1A:TRADD:FADD_kerat (backbone-derived; see topology layer),relayed_backbone
TNFRSF1A,CDC42,+,mechanistic_projection,TNFRSF1A:TRAF2:RIPK1_kerat,relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),relayed_backbone
TNFRSF1A,CHUK,+,mechanistic_projection,TNFRSF1A:TRAF2:RIPK1_kerat,relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),relayed_backbone
TNFRSF1A,MAP3K5,+,mechanistic_projection,TNFRSF1A:TRAF2:RIPK1_kerat,relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),relayed_backbone
TNFRSF1A,MAP4K2,+,mechanistic_projection,TNFRSF1A:TRAF2:RIPK1_kerat,relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),relayed_backbone
TNFRSF1A,PAK1,+,mechanistic_projection,TNFRSF1A:TRAF2:RIPK1_kerat,relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),relayed_backbone
TNFRSF1A,PLC,+,mechanistic_projection,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
TNFRSF1A,SMPD2,+,mechanistic_projection,TNFRSF1A:NSMAF:GNB2L1_kerat,relayed via TNFRSF1A:NSMAF:GNB2L1_kerat (backbone-derived; see topology layer),relayed_backbone
TP53,BBC3,+,mechanistic_projection,,PMID:18761658,inherited_backbone
TP53,DUSP1,+,mechanistic_projection,,PMID:12890671,inherited_backbone
TP53,GADD45A,+,mechanistic_projection,,PMID:19098008,inherited_backbone
TP53,HIF1A,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
TP53,MC1R,+,mechanistic_projection,alpha_MSH_kerat,relayed via alpha_MSH_kerat (backbone-derived; see topology layer),relayed_backbone
TP53,MC1R,+,mechanistic_projection,ACTH_kerat,relayed via ACTH_kerat (backbone-derived; see topology layer),relayed_backbone
TP53,NFKB1,-,mechanistic_projection,alpha_MSH_kerat,relayed via alpha_MSH_kerat (backbone-derived; see topology layer),relayed_backbone
TP53,NFKB1,-,mechanistic_projection,ACTH_kerat,relayed via ACTH_kerat (backbone-derived; see topology layer),relayed_backbone
TP53,TYR,-,mechanistic_projection,,PMID:19098008,inherited_backbone
TP53,TYRP1,+,mechanistic_projection,,PMID:18431400,inherited_backbone
TPSAB1,F2RL1,+,mechanistic_projection,,PMID:10439226,inherited_backbone
Trypsin,F2RL1,+,mechanistic_projection,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
USF1,MC1R,+,mechanistic_projection,,PMID:15358786,inherited_backbone
USF1,MC1R,+,mechanistic_projection,alpha_MSH_melan,PMID:15358786,inherited_backbone
USF1,MC1R,+,mechanistic_projection,ACTH_melan,PMID:15358786,inherited_backbone
WNT5A,FZD3,+,mechanistic_projection,,PMID:17804197; PMID:19910923,inherited_backbone
