gene_string,gene_sysgo,process_1,process_2,process_3,main_location,disease_gene_flag,disease_gene_class,in_a375,expr_a375_lfq,in_fm55,expr_fm55_lfq,citation,citation_source
FMR1,FMR1,3_9_Development,Developmental,Developmental,01_A_Cytosol,FMR1,Hyperpigmentation disorder,FMR1,20127.0,FMR1,19413.433333333334,PMC9854651,pmcid
FRAS1,FRAS1,2_1_Extracellular matrix organisation,ECM organisation,ECM organisation,04_EXTRACELLULAR,FRAS1,Hypopigmentation disorder,,,,,PMC9854651,pmcid
FREM2,FREM2,2_1_Extracellular matrix organisation,ECM organisation,ECM organisation,04_EXTRACELLULAR,FREM2,Hypopigmentation disorder,,,,,PMC9854651,pmcid
FRS2,FRS2,1_26_29_adaptors/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
GAB1,GAB1,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
GAB2,GAB2,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
GAR1,GAR1,1_6_2_Metabolism of rRNA,Metabolism of rRNA,Metabolism,03_H_Necleoli,,,,,,,PMC9854651,pmcid
GINS1,GINS1,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,GINS1,56964.5,GINS1,32795.5,PMC9854651,pmcid
GINS2,GINS2,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
GINS4,GINS4,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
GNAS,GNAS,1_26_49_G protein,Signaling - G protein,Signaling,02_B_Cell membrane,GNAS,Hyperpigmentation disorder,GNAS,134666.66666666666,GNAS,203661.66666666666,PMC9854651,pmcid
GNB1,GNB1,1_26_49_G protein,Signaling - G protein,Signaling,02_B_Cell membrane,,,GNB1,268504.0,GNB1,331425.0,PMC9854651,pmcid
GP1BA,GP1BA,3_11_Hemostasis,Hemostasis,Other,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
GPHN,GPHN,1_18_Metabolism of vitamins and cofactors,Metabolism of vitamins and cofactors,Metabolism,01_A_Cytosol,GPHN,Mixed hypo- & hyperpigmentation disorder,GPHN,43910.666666666664,GPHN,59320.5,PMC9854651,pmcid
GPNMB,GPNMB,3_7_other membrane proteins,Signaling - Other,Signaling,02_B_Cell membrane,GPNMB,Mixed hypo- & hyperpigmentation disorder,GPNMB,12755.0,GPNMB,53152.833333333336,PMC9854651,pmcid
GPR143,GPR143,3_6_1_Orphan and other 7TM receptors,GPCR signaling,Signaling,01_B_6_Melanosomes,GPR143,Hypopigmentation disorder,,,,,PMC9854651,pmcid
GPR29,CCR6,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,02_B_Cell membrane,CCR6,Hypopigmentation disorder,,,,,PMC9854651,pmcid
GRB2,GRB2,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,,,GRB2,130071.0,GRB2,129168.33333333333,PMC9854651,pmcid
GRIA2,GRIA2,3_3_Neuronal System_synapses_channels,Neuronal System_synapses_channels,Neuronal System_synapses_channels,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
GRIP1,GRIP1,3_3_Neuronal System_synapses_channels,Neuronal System_synapses_channels,Neuronal System_synapses_channels,01_A_Cytosol,GRIP1,Hypopigmentation disorder,,,,,PMC9854651,pmcid
GTF2B,GTF2B,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,GTF2B,59837.666666666664,GTF2B,65019.833333333336,PMC9854651,pmcid
GTF2E1,GTF2E1,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,GTF2E1,82129.16666666667,GTF2E1,69090.5,PMC9854651,pmcid
GTF2E2,GTF2E2,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,GTF2E2,49567.833333333336,GTF2E2,46399.666666666664,PMC9854651,pmcid
GTF2H1,GTF2H1,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,GTF2H1,25933.0,GTF2H1,27868.666666666668,PMC9854651,pmcid
GTF2H2,GTF2H2,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
GTF2H3,GTF2H3,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
GTF2H4,GTF2H4,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,GTF2H4,1643.0333333333335,,,PMC9854651,pmcid
GTF2H5,GTF2H5,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
GZMB,GZMB,1_8_20_Protein processing/proteolysis,Protein folding & repair,"Protein translation, folding, modification & degradation",01_A_Cytosol,GZMB,Hypopigmentation disorder,,,,,PMC9854651,pmcid
H2AFX,H2AX,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,,,,,,,PMC9854651,pmcid
HERC2,HERC2,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,01_A_Cytosol,HERC2,Hypopigmentation disorder,HERC2,44580.833333333336,HERC2,47506.333333333336,PMC9854651,pmcid
HGD,HGD,1_7_Metabolism of amino acids and derivatives,Metabolism of amino acids and derivatives,Metabolism,01_A_Cytosol,HGD,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
HLA-B,HLA-B,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,HLA-B,Hypopigmentation disorder,HLA-B,33225.166666666664,HLA-B,60741.5,PMC9854651,pmcid
HLA-DMB,HLA-DMB,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
HLA-DQB1,HLA-DQB1,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,HLA-DQB1,Hypopigmentation disorder,,,,,PMC9854651,pmcid
HLA-DRA,HLA-DRA,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,HLA-DRA,Hypopigmentation disorder,HLA-DRA,71707.16666666667,HLA-DRA,137508.33333333334,PMC9854651,pmcid
HLA-DRB1,HLA-DRB1,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,HLA-DRB1,Hypopigmentation disorder,,,,,PMC9854651,pmcid
HPS1,HPS1,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,HPS1,Hypopigmentation disorder,,,,,PMC9854651,pmcid
HPS3,HPS3,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,HPS3,Hypopigmentation disorder,,,,,PMC9854651,pmcid
HPS4,HPS4,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,HPS4,Hypopigmentation disorder,,,,,PMC9854651,pmcid
HPS5,HPS5,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,HPS5,Hypopigmentation disorder,,,,,PMC9854651,pmcid
HPS6,HPS6,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,HPS6,Hypopigmentation disorder,,,,,PMC9854651,pmcid
HRAS,HRAS,1_26_1_Ras,Ras GTPases and regulators,Signaling,02_B_Cell membrane,HRAS,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
HSP90AA1,HSP90AA1,1_25_4_Cellular response to heat stress,"Signaling - ROS/hypoxia, heat stress",Signaling,02_B_Cell membrane,,,HSP90AA1,5805866.666666667,HSP90AA1,4896800.0,PMC9854651,pmcid
HSPG2,HSPG2,1_17_Metabolism of carbohydrates,Carbohydrate metabolism,Metabolism,04_EXTRACELLULAR,,,,,,,PMC9854651,pmcid
IDS,IDS,1_17_Metabolism of carbohydrates,Carbohydrate metabolism,Metabolism,01_B_4_Lysosomes,IDS,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
IDUA,IDUA,1_17_Metabolism of carbohydrates,Carbohydrate metabolism,Metabolism,01_B_4_Lysosomes,IDUA,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
IGF1R,IGF1R,3_2_10_Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),Signaling - Cell fates,Signaling,02_B_Cell membrane,,,IGF1R,12688.0,IGF1R,24444.166666666668,PMC9854651,pmcid
IKBKB,IKBKB,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,IKBKB,43203.5,IKBKB,37356.833333333336,PMC9854651,pmcid
IKBKB,IKBKB,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,IKBKB,43203.5,IKBKB,37356.833333333336,PMC9854651,pmcid
IKBKG,IKBKG,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,IKBKG,Hyperpigmentation disorder,IKBKG,21209.733333333334,IKBKG,22796.38333333333,PMC9854651,pmcid
IL12RB1,IL12RB1,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
IL15,IL15,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,04_EXTRACELLULAR,,,,,,,PMC9854651,pmcid
IL17A,IL17A,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,04_EXTRACELLULAR,IL17A,Hypopigmentation disorder,,,,,PMC9854651,pmcid
IL17RA,IL17RA,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
IL2,IL2,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,04_EXTRACELLULAR,,,,,,,PMC9854651,pmcid
IL23R,IL23R,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,02_B_Cell membrane,IL23R,Hypopigmentation disorder,,,,,PMC9854651,pmcid
IL2RA,IL2RA,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,02_B_Cell membrane,IL2RA,Hypopigmentation disorder,,,,,PMC9854651,pmcid
IL2RB,IL2RB,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
IL2RG,IL2RG,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
INSR,INSR,3_2_19_Signaling by Insulin receptor,Signaling - Cell fates,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
IRAK1,IRAK1,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,01_A_Cytosol,,,IRAK1,100935.16666666667,IRAK1,75062.83333333333,PMC9854651,pmcid
IRF3,IRF3,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,03_A_Nucleus,IRF3,Hypopigmentation disorder,IRF3,110958.83333333333,IRF3,104713.0,PMC9854651,pmcid
IRF4,IRF4,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,03_A_Nucleus,IRF4,"Hyper, hypo & pigmentation",,,,,PMC9854651,pmcid
IRS1,IRS1,3_2_19_Signaling by Insulin receptor,Signaling - Cell fates,Signaling,01_A_Cytosol,,,IRS1,20732.666666666668,IRS1,6146.166666666667,PMC9854651,pmcid
JAK2,JAK2,1_26_12_Janus kinase,Protein kinases,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
JUN,JUN,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
KAT5,KAT5,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,,,,,,,PMC9854651,pmcid
KDR,KDR,3_2_16_Signaling by VEGF,Signaling - Cell fates,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
KEAP1,KEAP1,1_8_6_Protein ubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,,,,,PMC9854651,pmcid
KIR3DL1,KIR3DL1,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
KIT,KIT,3_2_15_Signaling by SCF-KIT,Signaling - Cell fates,Signaling,02_B_Cell membrane,KIT,Hyper & hypo,,,,,PMC9854651,pmcid
KITLG,KITLG,3_2_15_Signaling by SCF-KIT,Signaling - Cell fates,Signaling,04_EXTRACELLULAR,KITLG,Mixed & pigmentation,,,,,PMC9854651,pmcid
KMT2A,KMT2A,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,,,,,,,PMC9854651,pmcid
KRAS,KRAS,1_26_1_Ras,Ras GTPases and regulators,Signaling,02_B_Cell membrane,,,KRAS,38641.833333333336,KRAS,52061.63333333333,PMC9854651,pmcid
KRT14,KRT14,1_32_Cornification epidermins,Cornification epidermins,Other,"01_D_2_Intermediate filaments (Keratin, filaments)",KRT14,Hyperpigmentation disorder,KRT14,70201.98333333334,KRT14,1958.8999999999999,PMC9854651,pmcid
KRT5,KRT5,1_32_Cornification epidermins,Cornification epidermins,Other,"01_D_2_Intermediate filaments (Keratin, filaments)",KRT5,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
KSR1,KSR1,1_26_29_adapters/scaffolds,Adapters/scaffolds,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
LCK,LCK,1_26_30_non-receptor tyrosine kinase,Protein kinases,Signaling,01_A_Cytosol,,,,,,,PMC9854651,pmcid
LSM14A,LSM14A,1_6_3_Metabolism of mRNA,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,LSM14A,74951.66666666667,LSM14A,32743.166666666668,PMC9854651,pmcid
LYST,LYST,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,LYST,Hypopigmentation disorder,,,,,PMC9854651,pmcid
MAP2K1,MAP2K1,1_26_14_mitogen-activated protein kinase,Protein kinases,Signaling,01_A_Cytosol,MAP2K1,Hyperpigmentation disorder,MAP2K1,544098.3333333334,MAP2K1,454883.3333333333,PMC9854651,pmcid
MAPK1,MAPK1,1_26_14_mitogen-activated protein kinase,Protein kinases,Signaling,01_A_Cytosol,,,MAPK1,226170.0,MAPK1,229545.0,PMC9854651,pmcid
MC1R,MC1R,3_6_40_Melanocortin receptors,Melanosomes,Organelles,01_B_6_Melanosomes,MC1R,Hypopigmentation disorder,,,,,PMC9854651,pmcid
MC2R,MC2R,3_6_40_Melanocortin receptors,Melanosomes,Organelles,01_B_6_Melanosomes,MC2R,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
MC4R,MC4R,3_6_40_Melanocortin receptors,Melanosomes,Organelles,01_B_6_Melanosomes,,,,,,,PMC9854651,pmcid
MCL1,MCL1,4_2_Programmed Cell Death,Cell death,Signaling,01_B_1_Mitochondria,,,,,,,PMC9854651,pmcid
MCM10,MCM10,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
MCM2,MCM2,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,MCM2,387618.3333333333,MCM2,310426.6666666667,PMC9854651,pmcid
MCM3,MCM3,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,MCM3,296083.3333333333,MCM3,228443.33333333334,PMC9854651,pmcid
MCM4,MCM4,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,MCM4,Hyperpigmentation disorder,MCM4,410855.0,MCM4,308043.3333333333,PMC9854651,pmcid
MCM5,MCM5,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,MCM5,432071.6666666667,MCM5,343548.3333333333,PMC9854651,pmcid
MCM6,MCM6,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,MCM6,375286.6666666667,MCM6,308238.3333333333,PMC9854651,pmcid
MCM7,MCM7,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,MCM7,431118.3333333333,MCM7,321556.6666666667,PMC9854651,pmcid
MCMBP,MCMBP,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,,,MCMBP,112656.66666666667,MCMBP,84315.83333333333,PMC9854651,pmcid
MDC1,MDC1,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_A_Nucleus,,,,,,,PMC9854651,pmcid
MDM2,MDM2,1_8_6_Protein ubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,,,,,PMC9854651,pmcid
MEN1,MEN1,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,MEN1,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
MITF,MITF,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,MITF,Hypopigmentation disorder,,,,,PMC9854651,pmcid
MLH1,MLH1,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,MLH1,Mixed hypo- & hyperpigmentation disorder,MLH1,75256.16666666667,MLH1,42434.833333333336,PMC9854651,pmcid
MLPH,MLPH,1_33_Melanosomes,Melanosomes,Organelles,01_B_6_Melanosomes,MLPH,Hypopigmentation disorder,,,,,PMC9854651,pmcid
MNAT1,MNAT1,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,,,MNAT1,18091.933333333334,MNAT1,12607.699999999999,PMC9854651,pmcid
MPZL1,MPZL1,3_4_Cell_cell_junctions_adhesion,Cell_cell_junctions_adhesion,Cell junction & adhesion,02_A_Cell-cell-junctions,,,,,,,PMC9854651,pmcid
MRAP,MRAP,1_33_Melanosomes,Melanosomes,Organelles,01_B_6_Melanosomes,MRAP,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
MRE11A,MRE11,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,MRE11A,64907.666666666664,MRE11A,47134.666666666664,PMC9854651,pmcid
MSH2,MSH2,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_A_Nucleus,MSH2,Hyperpigmentation disorder,MSH2,290876.6666666667,MSH2,215565.0,PMC9854651,pmcid
MSH3,MSH3,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_A_Nucleus,,,MSH3,67175.33333333333,MSH3,67620.16666666667,PMC9854651,pmcid
MSH6,MSH6,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_A_Nucleus,MSH6,Hyperpigmentation disorder,MSH6,263253.3333333333,MSH6,211548.33333333334,PMC9854651,pmcid
MTAP,MTAP,1_7_Metabolism of amino acids and derivatives,Metabolism of amino acids and derivatives,Metabolism,01_A_Cytosol,MTAP,Hyperpigmentation disorder,MTAP,447995.0,MTAP,456720.0,PMC9854651,pmcid
MTOR,MTOR,3_2_23_Signaling by TOR,Signaling - Cell fates,Signaling,01_A_Cytosol,,,MTOR,68596.83333333333,MTOR,58143.666666666664,PMC9854651,pmcid
MYC,MYC,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
MYH8,MYH8,1_15_1_Actin,Cytoskeleton,Cytoskeleton,01_D_1_Microfilaments (Actin),MYH8,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
MYO5A,MYO5A,1_15_1_Actin,Cytoskeleton,Cytoskeleton,01_D_1_Microfilaments (Actin),MYO5A,Hypopigmentation disorder,MYO5A,297911.6666666667,MYO5A,218200.0,PMC9854651,pmcid
MYO7A,MYO7A,1_15_1_Actin,Cytoskeleton,Cytoskeleton,01_D_1_Microfilaments (Actin),,,,,,,PMC9854651,pmcid
NARS,NARS1,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,NARS1,Hypopigmentation disorder,NARS,797930.0,NARS,650458.3333333334,PMC9854651,pmcid
NBN,NBN,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_A_Nucleus,NBN,Mixed hypo- & hyperpigmentation disorder,NBN,45288.666666666664,NBN,22819.516666666666,PMC9854651,pmcid
NCSTN,NCSTN,1_8_20_Protein processing/proteolysis,Protein folding & repair,"Protein translation, folding, modification & degradation",02_B_Cell membrane,,,,,,,PMC9854651,pmcid
NEDD4,NEDD4,1_8_6_Protein ubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,NEDD4,116265.33333333333,NEDD4,90129.83333333333,PMC9854651,pmcid
NEDD8,NEDD8,1_8_11_Neddylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,NEDD8,151446.66666666666,NEDD8,215811.66666666666,PMC9854651,pmcid
NF1,NF1,1_26_3_Ras_GAP,Ras GTPases and regulators,Signaling,01_A_Cytosol,NF1,Hyperpigmentation disorder,NF1,40171.5,NF1,36698.166666666664,PMC9854651,pmcid
NFIX,NFIX,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,NFIX,Hyperpigmentation disorder,NFIX,110218.83333333333,NFIX,363546.6666666667,PMC9854651,pmcid
NFKB1,NFKB1,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,NFKB1,166215.0,NFKB1,189479.66666666666,PMC9854651,pmcid
NFKBIA,NFKBIA,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
NHP2,NHP2,1_6_2_Metabolism of rRNA,Metabolism of rRNA,Metabolism,03_H_Necleoli,NHP2,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
NHP2L1,SNU13,1_6_3_Metabolism of mRNA,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,NHP2L1,156041.66666666666,NHP2L1,101778.66666666667,PMC9854651,pmcid
NID1,NID1,2_1_1_Degradation of the extracellular matrix,ECM organisation,ECM organisation,04_EXTRACELLULAR,NID1,Hyperpigmentation disorder,NID1,7901.4833333333345,NID1,10932.783333333333,PMC9854651,pmcid
NKX2-5,NKX2-5,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
NLRP1,NLRP1,3_5_2_Innate Immune System,Innate Immune System,Immune system & Inflammation,01_A_Cytosol,NLRP1,Hypopigmentation disorder,,,,,PMC9854651,pmcid
NNT,NNT,1_10_The citric acid (TCA) cycle and respiratory electron transport,TCA cycle and relectron transport chain,Metabolism,01_B_1_Mitochondria,NNT,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
NOP10,NOP10,1_6_2_Metabolism of rRNA,Metabolism of rRNA,Metabolism,03_H_Necleoli,NOP10,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
NOP56,NOP56,1_6_2_Metabolism of rRNA,Metabolism of rRNA,Metabolism,03_H_Necleoli,,,,,,,PMC9854651,pmcid
NOP58,NOP58,1_6_2_Metabolism of rRNA,Metabolism of rRNA,Metabolism,03_H_Necleoli,,,NOP58,42792.5,NOP58,30114.166666666668,PMC9854651,pmcid
NPHP4,NPHP4,1_16_Cilium assembly,Cytoskeleton,Cytoskeleton,01_D_3b_Cilia,,,,,,,PMC9854651,pmcid
NR0B1,NR0B1,1_34_Nuclear receptors,Nuclear receptors,Other,03_C_Nucleoplasm,NR0B1,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
NR5A1,NR5A1,1_34_Nuclear receptors,Nuclear receptors,Other,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
NRAS,NRAS,1_26_1_Ras,Ras GTPases and regulators,Signaling,02_B_Cell membrane,NRAS,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
NRP1,NRP1,3_2_16_Signaling by VEGF,Signaling - Cell fates,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
NRP2,NRP2,3_2_16_Signaling by VEGF,Signaling - Cell fates,Signaling,02_B_Cell membrane,,,NRP2,5564.716666666667,NRP2,12054.016666666668,PMC9854651,pmcid
NSD1,NSD1,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,NSD1,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
NTRK2,NTRK2,3_3_Neuronal System_synapses_channels,Neuronal System_synapses_channels,Neuronal System_synapses_channels,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
OBFC1,STN1,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
OCA2,OCA2,1_33_Melanosomes,Melanosomes,Organelles,01_B_6_Melanosomes,OCA2,Hypopigmentation disorder,,,,,PMC9854651,pmcid
ORC1,ORC1,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
ORC2,ORC2,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,ORC2,149021.83333333334,ORC2,85151.83333333333,PMC9854651,pmcid
ORC3,ORC3,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,ORC3,15164.5,ORC3,14509.166666666666,PMC9854651,pmcid
ORC4,ORC4,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,ORC4,58617.0,ORC4,66917.33333333333,PMC9854651,pmcid
ORC5,ORC5,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
ORC6,ORC6,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
PABPC1,PABPC1,1_6_3_Metabolism of mRNA,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,PABPC1,990753.3333333334,PABPC1,907610.0,PMC9854651,pmcid
PAH,PAH,1_7_Metabolism of amino acids and derivatives,Metabolism of amino acids and derivatives,Metabolism,01_A_Cytosol,PAH,Hypopigmentation disorder,,,,,PMC9854651,pmcid
PALB2,PALB2,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,PALB2,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
PARN,PARN,1_6_3_Metabolism of mRNA,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",03_H_Necleoli,PARN,Hyperpigmentation disorder,PARN,50890.666666666664,PARN,30324.333333333332,PMC9854651,pmcid
PATL1,PATL1,1_6_3_Metabolism of mRNA,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,PATL1,89578.16666666667,PATL1,66683.16666666667,PMC9854651,pmcid
PAX3,PAX3,3_9_Development,Developmental,Developmental,03_C_Nucleoplasm,PAX3,Hypopigmentation disorder,,,,,PMC9854651,pmcid
PCNA,PCNA,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,PCNA,1136898.3333333333,PCNA,1299058.3333333333,PMC9854651,pmcid
PCNT,PCNT,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,01_D_3d_Centrosome,PCNT,Mixed hypo- & hyperpigmentation disorder,PCNT,28647.5,PCNT,29371.0,PMC9854651,pmcid
PDCD1,PDCD1,4_2_Programmed Cell Death,Cell death,Signaling,04_EXTRACELLULAR,,,,,,,PMC9854651,pmcid
