gene_a,gene_b,raghunath_sign,raghunath_citation,both_string_mappable,string_edge_present_score700,citation,citation_source
MAPK3,MITF,-,PMID:18039926,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:18039926,string_db+inherited_backbone
MAPK3,PLA2,+,relayed via nan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via nan (backbone-derived; see topology layer),string_db+inherited_backbone
MAPK3,RPS6KA1,+,NetProTM (Molecular Connections curated interaction DB); PMID:19847192,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:19847192,string_db+inherited_backbone
MAPK3,TP53,+,PMID:10781582,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:10781582,string_db+inherited_backbone
ATF2,MAPK8,+,PMID:11348449,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11348449,string_db+inherited_backbone
BAK1,MAPK8,+,relayed via MCL1:BAK1_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via MCL1:BAK1_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
BAX,MAPK8,+,relayed via MCL1:BAX_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via MCL1:BAX_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
JUN,MAPK8,+,NetProTM (Molecular Connections curated interaction DB); PMID:14511403,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:14511403,string_db+inherited_backbone
MAPK8,MCL1,+,relayed via MCL1:BAX_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via MCL1:BAX_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
ADCY4,MC1R,+,"Raghunath-ref[14]:Dong F, Cui R, Liu F: Additional Roles of A-MSH/MC1R Signali",True,False,"STRING v12.0 (2026-07-12T01:17:03.759858+00:00); Raghunath-ref[14]:Dong F, Cui R, Liu F: Additional Roles of A-MSH/MC1R Signali",string_db+inherited_backbone
MC1R,NFKB1,-,PMID:19656324,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:19656324,string_db+inherited_backbone
GAB1,MET,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
HRAS,MET,+,relayed via SOS1:GRB2:SHC1_melan (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via SOS1:GRB2:SHC1_melan (backbone-derived; see topology layer),string_db+inherited_backbone
BCL2,MITF,+,PMID:12086670,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12086670,string_db+inherited_backbone
CDK4,MITF,+,"Raghunath-ref[97]:Wellbrock C, Rana S, Paterson H, Pickersgill H, Brummelkamp",True,False,"STRING v12.0 (2026-07-12T01:17:03.759858+00:00); Raghunath-ref[97]:Wellbrock C, Rana S, Paterson H, Pickersgill H, Brummelkamp",string_db+inherited_backbone
DCT,MITF,+,PMID:19026785,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:19026785,string_db+inherited_backbone
EDNRB,MITF,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MC1R,MITF,+,PMID:12204775,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12204775,string_db+inherited_backbone
MET,MITF,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MITF,MLANA,+,PMID:15117970,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15117970,string_db+inherited_backbone
MITF,OCA2,+,PMID:22234890,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:22234890,string_db+inherited_backbone
MITF,PMEL,+,PMID:18039926,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:18039926,string_db+inherited_backbone
MITF,PRKCB,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MITF,TYR,+,PMID:19026785,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:19026785,string_db+inherited_backbone
MITF,TYRP1,+,PMID:19026785,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:19026785,string_db+inherited_backbone
CDH2,MSN,+,PMID:18983538,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:18983538,string_db+inherited_backbone
NFATC1,PTGS2,+,PMID:18708588,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:18708588,string_db+inherited_backbone
BCL2,NFKB1,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
CDKN1A,NFKB1,+,PMID:12612054,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12612054,string_db+inherited_backbone
CSF2,NFKB1,+,PMID:15102074,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15102074,string_db+inherited_backbone
CXCL8,NFKB1,+,PMID:19726162,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:19726162,string_db+inherited_backbone
EDN1,NFKB1,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
F2RL1,NFKB1,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
FASLG,NFKB1,+,PMID:16631160,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:16631160,string_db+inherited_backbone
ICAM1,NFKB1,+,PMID:15654951,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15654951,string_db+inherited_backbone
IL10,NFKB1,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
IL12A,NFKB1,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
IL1A,NFKB1,+,PMID:10862790,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:10862790,string_db+inherited_backbone
IL6,NFKB1,+,PMID:16211268,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:16211268,string_db+inherited_backbone
KITLG,NFKB1,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MMPS,NFKB1,+,relayed via nan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via nan (backbone-derived; see topology layer),string_db+inherited_backbone
NFKB1,NOS2,+,"Raghunath-ref[110]:Song XZ, Bi ZG, Xu AE: Green tea polyphenol epigallocatechin",True,False,"STRING v12.0 (2026-07-12T01:17:03.759858+00:00); Raghunath-ref[110]:Song XZ, Bi ZG, Xu AE: Green tea polyphenol epigallocatechin",string_db+inherited_backbone
NFKB1,PRKCD,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
NFKB1,PTGS2,+,PMID:14633657,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:14633657,string_db+inherited_backbone
NFKB1,TNF,+,PMID:21282043,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:21282043,string_db+inherited_backbone
NFKB1,TP53,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
NGF,NTRK1,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
GUCY1A2,NOS2,+,relayed via Nitric_oxide_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Nitric_oxide_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
EGFR,NOX1,+,relayed via ROS_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via ROS_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
MAP3K5,NOX1,+,relayed via ROS_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via ROS_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
NOX1,SMPD2,+,relayed via ROS_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via ROS_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
HRAS,NTRK1,+,relayed via SOS1:GRB2:SHC1_melan (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via SOS1:GRB2:SHC1_melan (backbone-derived; see topology layer),string_db+inherited_backbone
MAP2K3,PAK1,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MAP2K6,PAK1,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MITF,PAX3,+,PMID:10536986; PMID:19124082,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:10536986; PMID:19124082,string_db+inherited_backbone
AKT1,PDPK1,+,NetProTM (Molecular Connections curated interaction DB); PMID:19342374,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:19342374,string_db+inherited_backbone
PDPK1,PRKCH,+,PMID:12223477,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12223477,string_db+inherited_backbone
MITF,PIAS3,-,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
PIAS3,STAT3,-,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
PDPK1,PIK3CA,+,NetProTM (Molecular Connections curated interaction DB); PMID:19342374,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:19342374,string_db+inherited_backbone
PIK3CA,RAC1,+,PMID:18983538,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:18983538,string_db+inherited_backbone
NFKB1,PKC,+,relayed via nan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via nan (backbone-derived; see topology layer),string_db+inherited_backbone
PLA2,PTGER1,+,relayed via Arachidonic_Acid_kerat>PGE2_kerat (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Arachidonic_Acid_kerat>PGE2_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PLA2,PTGER2,+,relayed via Arachidonic_Acid_kerat>PGE2_kerat (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Arachidonic_Acid_kerat>PGE2_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PLA2,PTGER3,+,relayed via Arachidonic_Acid_kerat>PGE2_kerat (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Arachidonic_Acid_kerat>PGE2_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PLA2,PTGER4,+,relayed via Arachidonic_Acid_kerat>PGE2_kerat (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Arachidonic_Acid_kerat>PGE2_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PLC,PRKCB,+,relayed via DAG_melan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via DAG_melan (backbone-derived; see topology layer),string_db+inherited_backbone
PLC,RYR1,+,relayed via IP3_melan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via IP3_melan (backbone-derived; see topology layer),string_db+inherited_backbone
PLC,SMPD1,+,relayed via DAG_kerat (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via DAG_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
BAK1,PMAIP1,+,PMID:15901672,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15901672,string_db+inherited_backbone
NFATC1,PPP3CA,+,PMID:18708588,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:18708588,string_db+inherited_backbone
CREB1,PRKACA,+,NetProTM (Molecular Connections curated interaction DB); PMID:12950719,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:12950719,string_db+inherited_backbone
GAB1,PRKCB,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
PRKCB,TYR,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
BAK1,PRKCD,+,relayed via MCL1:BAK1_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via MCL1:BAK1_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
BAX,PRKCD,+,relayed via MCL1:BAX_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via MCL1:BAX_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
CASP8,PRKCD,+,PMID:15304079,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15304079,string_db+inherited_backbone
CASP9,PRKCD,+,PMID:15304079,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15304079,string_db+inherited_backbone
MCL1,PRKCD,+,relayed via MCL1:BAX_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via MCL1:BAX_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
CASP3,PRKCH,-,PMID:12646210,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12646210,string_db+inherited_backbone
CDK2,PRKCH,-,PMID:11175348,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11175348,string_db+inherited_backbone
MAPK14,PRKCH,+,PMID:12646210,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12646210,string_db+inherited_backbone
NFKB1,PRKCZ,+,PMID:12881425,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12881425,string_db+inherited_backbone
CREB1,PRKG1,+,PMID:22441938,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:22441938,string_db+inherited_backbone
PLC,PTGER1,+,relayed via nan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via nan (backbone-derived; see topology layer),string_db+inherited_backbone
ADCY4,PTGER2,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
PLC,PTGER3,+,relayed via nan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via nan (backbone-derived; see topology layer),string_db+inherited_backbone
ADCY4,PTGER4,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
PTGER1,PTGS2,+,relayed via PGE2_melan (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via PGE2_melan (backbone-derived; see topology layer),string_db+inherited_backbone
PTGER2,PTGS2,+,relayed via PGE2_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via PGE2_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PTGER3,PTGS2,+,relayed via PGE2_melan (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via PGE2_melan (backbone-derived; see topology layer),string_db+inherited_backbone
PTGER4,PTGS2,+,relayed via PGE2_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via PGE2_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PHOSPHODIESTERASE,PRKACA,-,relayed via nan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via nan (backbone-derived; see topology layer),string_db+inherited_backbone
MAP2K3,RAC1,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MAP2K6,RAC1,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MAP3K1,RAC1,+,NetProTM (Molecular Connections curated interaction DB); PMID:8910292,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:8910292,string_db+inherited_backbone
NOX1,RAC1,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
PAK1,RAC1,+,PMID:22882909,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:22882909,string_db+inherited_backbone
PRKCZ,RAC1,+,relayed via RAC1:PARD6A:CDC42_melan (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via RAC1:PARD6A:CDC42_melan (backbone-derived; see topology layer),string_db+inherited_backbone
MAP2K1,RAF1,+,NetProTM (Molecular Connections curated interaction DB); PMID:11348449,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:11348449,string_db+inherited_backbone
MAP2K2,RAF1,+,NetProTM (Molecular Connections curated interaction DB); PMID:11348449,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:11348449,string_db+inherited_backbone
RAC1,RAP1A,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
BAD,RPS6KA1,-,PMID:15107468,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15107468,string_db+inherited_backbone
CREB1,RPS6KA1,+,PMID:15107468; PMID:7540859,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15107468; PMID:7540859,string_db+inherited_backbone
MITF,RPS6KA1,-,PMID:10673502,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:10673502,string_db+inherited_backbone
PKC,RYR1,+,relayed via Calcium_cyt_kerat (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Calcium_cyt_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PPP3CA,RYR1,+,relayed via Calcium_cyt_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Calcium_cyt_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PRKCB,RYR1,+,relayed via Calcium_cyt_melan (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Calcium_cyt_melan (backbone-derived; see topology layer),string_db+inherited_backbone
PHOSPHODIESTERASE,RYR1,+,relayed via Calcium_cyt_melan>Calcium_cyt:Calmodulin_melan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Calcium_cyt_melan>Calcium_cyt:Calmodulin_melan (backbone-derived; see topology layer),string_db+inherited_backbone
PLA2,SMPD1,+,relayed via Ceramide_kerat (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Ceramide_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PRKCZ,SMPD1,+,relayed via Ceramide_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Ceramide_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
SMPD1,TFAP2A,+,relayed via Ceramide_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Ceramide_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PLA2,SMPD2,+,relayed via Ceramide_kerat (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Ceramide_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PRKCZ,SMPD2,+,relayed via Ceramide_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Ceramide_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
SMPD2,TFAP2A,+,relayed via Ceramide_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Ceramide_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
DCT,SOX10,+,PMID:14706856,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:14706856,string_db+inherited_backbone
MITF,SOX10,+,PMID:12944398,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12944398,string_db+inherited_backbone
PAX3,SOX10,+,PMID:10942418,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:10942418,string_db+inherited_backbone
SOX10,TYR,+,PMID:17516925,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:17516925,string_db+inherited_backbone
SOX10,TYRP1,+,PMID:16934245,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:16934245,string_db+inherited_backbone
PLA2,SPTLC1,+,relayed via Ceramide_kerat (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Ceramide_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PRKCZ,SPTLC1,+,relayed via Ceramide_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Ceramide_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
SPTLC1,TFAP2A,+,relayed via Ceramide_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Ceramide_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PLA2,SPTLC2,+,relayed via Ceramide_kerat (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Ceramide_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
PRKCZ,SPTLC2,+,relayed via Ceramide_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Ceramide_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
SPTLC2,TFAP2A,+,relayed via Ceramide_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via Ceramide_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
EGFR,SRC,+,PMID:22532027,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:22532027,string_db+inherited_backbone
MMP1,STAT1,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
BCL2,STAT3,+,PMID:23577258,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:23577258,string_db+inherited_backbone
BCL2L1,STAT3,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
CCND1,STAT3,+,NetProTM (Molecular Connections curated interaction DB); PMID:23577258,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:23577258,string_db+inherited_backbone
PTGS2,STAT3,+,PMID:21440540,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:21440540,string_db+inherited_backbone
ICAM1,TFAP2A,+,PMID:12952965,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12952965,string_db+inherited_backbone
TFAP2A,TNF,-,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
TNF,TNFRSF1A,+,PMID:11348449,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11348449,string_db+inherited_backbone
CASP8,TNFRSF1A,+,relayed via TNFRSF1A:TRADD:FADD_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via TNFRSF1A:TRADD:FADD_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
CDC42,TNFRSF1A,+,relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
CHUK,TNFRSF1A,+,relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
MAP3K5,TNFRSF1A,+,relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via TNFRSF1A:TRAF2:RIPK1_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
