gene,supporting_layers,n_edge_bearing_layers,is_raghunath_enzyme_class_token,omim_disease_flag,omim_disease_names,omim_phenotype_class,massspec_detected_flag,massspec_a375_lfq,massspec_fm55_lfq,bajpai_hit_flag,bajpai_castle_effect,bajpai_q_value,bajpai_direction,bajpai_orphan_hit,citation,citation_source
FASLG,Raghunath|STRING_ours|DArcy_STRING,3,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"UniProt:P48023;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
BAD,Raghunath|GRN|STRING_ours,3,False,False,,,False,,,False,,,,False,UniProt:Q92934;PMID:19192212;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
NRAS,KEGG|STRING_ours|DArcy_STRING,3,False,True,"Melanocytic nevus syndrome, congenital, somatic; Neurocutaneous melanosis, somatic",Hyperpigmentation,False,,,False,,,,False,"KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
NSMAF,Raghunath|GRN|STRING_ours,3,False,False,,,True,18590.833333333332,21686.333333333332,False,,,,False,Entrez:8439;OmniPath-curated (aggregator record; no PMID field on this row — see omnipath_sources);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
PRKCH,Raghunath|GRN|STRING_ours,3,False,False,,,False,,,False,,,,False,UniProt:P24723;OmniPath-curated (aggregator record; no PMID field on this row — see omnipath_sources);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
AKT1,Raghunath|GRN|STRING_ours,3,False,False,,,True,88765.83333333333,79461.16666666667,False,,,,False,"UniProt:P31749;PMID:17164294,26845432,32495878;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)",accession|database|pmid_or_database
TFAP2A,Raghunath|Reactome|STRING_ours,3,False,False,,,False,,,False,,,,False,UniProt:P05549;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
TERT,Reactome|STRING_ours|DArcy_STRING,3,False,True,"Dyskeratosis congenita, autosomal dominant 2, autosomal recessive 4",Hyperpigmentation,False,,,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
AHR,Raghunath|GRN|STRING_ours,3,False,False,,,True,35369.51666666667,54399.166666666664,False,,,,False,Entrez:196;PMID:22728919;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
SLC24A5,Reactome|STRING_ours|DArcy_STRING,3,False,True,"Oculocutaneous albinism, type 6|[Skin/hair/eye pigmentation 4, fair/dark skin]",Hypopigmentation|Pigmentation phenotype,False,,,True,1.8,0.00019277,reduces_pigmentation,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
FOS,Raghunath|GRN|STRING_ours,3,False,False,,,False,,,False,,,,False,UniProt:P01100;PMID:14737107;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
SLC45A2,Reactome|STRING_ours|DArcy_STRING,3,False,True,"Oculocutaneous albinism, type 4",Hypopigmentation,False,,,True,3.8,0.00019277,reduces_pigmentation,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
F10,Raghunath|GRN|STRING_ours,3,False,False,,,False,,,False,,,,False,UniProt:P00742;PMID:11159521;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
CREB1,Raghunath|KEGG|STRING_ours,3,False,False,,,False,,,False,,,,False,UniProt:P16220;KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FADD,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,True,138228.33333333334,94179.66666666669,False,,,,False,"Entrez:8772;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
ADCY4,Raghunath|KEGG|STRING_ours,3,False,False,,,False,,,False,,,,False,UniProt:Q8NFM4;KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PDE4B,Raghunath|GRN|STRING_ours,3,False,False,,,False,,,False,,,,False,Entrez:5142;OmniPath-curated (aggregator record; no PMID field on this row — see omnipath_sources);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
PLCB3,KEGG|STRING_ours|DArcy_STRING,3,False,True,Vitiligo,Hypopigmentation,True,120884.0,101701.33333333331,False,,,,False,"KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
PIAS3,Raghunath|GRN|STRING_ours,3,False,False,,,False,,,False,,,,False,"UniProt:Q9Y6X2;PMID:16368885,19201870,21519923;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)",accession|database|pmid_or_database
PLCB1,Raghunath|KEGG|STRING_ours,3,False,False,,,False,,,False,,,,False,Entrez:23236;KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PIK3CA,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,False,,,False,,,,False,"UniProt:P42336;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
FAS,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,False,,,False,,,,False,"UniProt:P25445;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
TCF7L2,KEGG|Reactome|STRING_ours,3,False,False,,,False,,,False,,,,False,KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
CHUK,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,True,39881.333333333336,26494.333333333332,False,,,,False,"UniProt:O15111;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
IRAK1,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,True,100935.16666666669,75062.83333333333,False,,,,False,"UniProt:P51617;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
SOS1,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,True,40512.9,39444.833333333336,False,,,,False,"Entrez:6654;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
TRAF6,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,False,,,False,,,,False,"Entrez:7189;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
MYO5A,Reactome|STRING_ours|DArcy_STRING,3,False,True,Griscelli syndrome type 1,Hypopigmentation,True,297911.6666666667,218200.0,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
PRKCA,Raghunath|KEGG|STRING_ours,3,False,False,,,True,169370.0,117301.66666666669,False,,,,False,Entrez:5578;KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
JUN,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,False,,,False,,,,False,"UniProt:P05412;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
RAP1A,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,False,,,False,,,,False,"UniProt:P62834;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
RIPK1,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,True,72887.83333333333,55346.833333333336,False,,,,False,"Entrez:8737;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
WNT3A,KEGG|Reactome|STRING_ours,3,False,False,,,False,,,False,,,,False,KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
WNT5A,Raghunath|KEGG|STRING_ours,3,False,False,,,False,,,False,,,,False,UniProt:P41221;KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FZD3,Raghunath|KEGG|STRING_ours,3,False,False,,,False,,,False,,,,False,UniProt:Q9NPG1;KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
GAB1,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,False,,,False,,,,False,"UniProt:Q13480;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
MAP2K2,Raghunath|KEGG|STRING_ours,3,False,False,,,True,150275.0,110186.66666666669,False,,,,False,UniProt:P36507;KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
NFKB1,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,True,166215.0,189479.66666666663,False,,,,False,"UniProt:P19838;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
TCF7,KEGG|Reactome|STRING_ours,3,False,False,,,False,,,False,,,,False,KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PPP3CA,Raghunath|STRING_ours|DArcy_STRING,3,False,True,Vitiligo,Hypopigmentation,True,130960.0,111967.16666666669,False,,,,False,"UniProt:Q08209;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
CDKN2A,Reactome|STRING_ours|DArcy_STRING,3,False,True,"Melanoma and neural system tumor syndrome|Melanoma, cutaneous malignant, 2|Melanoma-pancreatic cancer syndrome",Hyperpigmentation,False,,,True,1.7,0.00019277,reduces_pigmentation,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
TCF7L1,KEGG|Reactome|STRING_ours,3,False,False,,,False,,,False,,,,False,KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
IRF4,Reactome|STRING_ours|DArcy_STRING,3,False,True,"Dermal melanocytosis|Vitiligo|[Skin/hair/eye pigmentation, variation in, 8]",Hyperpigmentation|Hypopigmentation|Pigmentation phenotype,False,,,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
SNAI2,Reactome|STRING_ours|DArcy_STRING,3,False,True,Piebaldism|Waardenburg syndrome type 2D,Hypopigmentation,False,,,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
RIT1,STRING_ours|DArcy_STRING,2,False,True,Noonan Syndrome 8,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
ICAM1,Raghunath|STRING_ours,2,False,False,,,True,8019.633333333332,214859.56666666665,False,,,,False,UniProt:P05362;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
IL10,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P22301;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
IKBKG,STRING_ours|DArcy_STRING,2,False,True,Incontinentia pigmenti,Hyperpigmentation,True,21209.733333333337,22796.38333333333,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
HPS4,STRING_ours|DArcy_STRING,2,False,True,Hermansky-Pudlak syndrome type 4,Hypopigmentation,False,,,True,2.1,0.00019277,reduces_pigmentation,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
RFXANK,STRING_ours|DArcy_STRING,2,False,True,"Xeroderma pigmentosum, variant type",Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
RHOA,Raghunath|STRING_ours,2,False,False,,,True,106542.5,117046.16666666669,False,,,,False,UniProt:P61586;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
IDUA,STRING_ours|DArcy_STRING,2,False,True,Hurler syndrome,Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
HPS6,STRING_ours|DArcy_STRING,2,False,True,Hermansky-Pudlak syndrome type 6,Hypopigmentation,False,,,True,1.9,0.00019277,reduces_pigmentation,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
HPS5,STRING_ours|DArcy_STRING,2,False,True,Hermansky-Pudlak syndrome type 5,Hypopigmentation,False,,,True,2.1,0.00019277,reduces_pigmentation,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
IDS,STRING_ours|DArcy_STRING,2,False,True,Mucopolysaccharidosis type II (Hunter syndrome),Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
SH2B3,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,True,15805.333333333334,15377.365,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
HPS3,STRING_ours|DArcy_STRING,2,False,True,Hermansky-Pudlak syndrome type 3,Hypopigmentation,False,,,True,1.7,0.00019277,reduces_pigmentation,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
FZD1,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
GADD45A,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P24522;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FZD9,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FZD8,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FZD7,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FZD6,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FZD5,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FZD4,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FZD2,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FZD10,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
SLC1A2,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
GNAI1,KEGG|STRING_ours,2,False,False,,,False,,,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
FREM2,STRING_ours|DArcy_STRING,2,False,True,Fraser syndrome 2,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
FRAS1,STRING_ours|DArcy_STRING,2,False,True,Fraser syndrome 1,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
FMR1,STRING_ours|DArcy_STRING,2,False,True,Fragile X syndrome,Hyperpigmentation,True,20127.0,19413.433333333334,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
FLNA,STRING_ours|DArcy_STRING,2,False,True,Terminal osseous dysplasia,Hyperpigmentation,True,1757333.3333333333,1556316.6666666667,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
FLI1,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
FIG4,STRING_ours|DArcy_STRING,2,False,True,Charcot-Marie-Tooth disease type 4J,Hypopigmentation,True,4960200.0,3507133.3333333335,True,0.7,0.034655775,reduces_pigmentation,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
FGFR3,STRING_ours|DArcy_STRING,2,False,True,Crouzon syndrome with acanthosis nigricans,Mixed,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
SMARCA4,Reactome|DArcy_STRING,2,False,False,,,True,121242.66666666669,83629.0,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|pmcid
SMARCAL1,STRING_ours|DArcy_STRING,2,False,True,Schimke immunoosseous dysplasia ,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
GAR1,STRING_ours|DArcy_STRING,2,False,False,,,False,,,False,,,,,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
GNAI2,KEGG|STRING_ours,2,False,False,,,True,142940.0,128641.66666666669,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
HPS1,STRING_ours|DArcy_STRING,2,False,True,Hermansky-Pudlak syndrome type 1,Hypopigmentation,False,,,True,2.0,0.00019277,reduces_pigmentation,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
GUCY1A2,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P33402;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
HLA-DRB1,STRING_ours|DArcy_STRING,2,False,True,Vogt-Koyanagi-Harada disease,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
HLA-DRA,STRING_ours|DArcy_STRING,2,False,True,Vogt-Koyanagi-Harada disease,Hypopigmentation,True,71707.16666666667,137508.33333333334,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
HLA-DQB1,STRING_ours|DArcy_STRING,2,False,True,Vogt-Koyanagi-Harada disease,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
HLA-DQA1,STRING_ours|DArcy_STRING,2,False,True,Vitiligo|Vogt-Koyanagi-Harada disease,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
HLA-B,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,True,33225.166666666664,60741.5,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
HGD,STRING_ours|DArcy_STRING,2,False,True,Alkaptonuria,Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
HERC2,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,True,44580.833333333336,47506.333333333336,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
RPGRIP1L,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
GZMB,STRING_ours|DArcy_STRING,2,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
RTEL1,STRING_ours|DArcy_STRING,2,False,True,"Dyskeratosis congenita, autosomal dominant 4, autosomal recessive 5",Hyperpigmentation,False,,,False,,,,False,"STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",database|pmcid
GNAI3,KEGG|STRING_ours,2,False,False,,,True,81624.66666666667,74247.16666666667,False,,,,False,KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
RYR1,Raghunath|STRING_ours,2,False,False,,,False,,,False,,,,False,UniProt:P21817;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
